impact	Europe	Asia	America	Oceania	Africa	Other
Value Added	13810833.7808	11389371.663	16196709.9426	883920.109669	1279521.84085	3393915.00298
Employment	544222.790708	1117964.0975	511707.184847	24682.5204657	295323.926126	422398.409528
Employment hour	1.07452564794e+12	2.49192922629e+12	1.0713972979e+12	49538577932.4	661358533190	909176984240
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	7.11942661733e+12	1.05039373967e+13	9.01036417584e+12	480487998432	1.91744675548e+12	4.26639760035e+12
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	4894923.55559	5697277.70312	4473795.26493	179994.71956	992711.677427	2297246.59951
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	2.88688586808e+12	3.03290762467e+12	2.73582226088e+12	98875063895.7	604253620211	1.35970630328e+12
EPS | Damage Approach | EPS (Steen, 1999))	7.29682508056e+12	1.93283371893e+13	1.08446880875e+13	458427042858	2.4779741397e+12	5.88280806947e+12
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	1808208.84916	1979315.50676	1276306.91896	50578.6153688	256064.146676	707055.168071
Respiratory effects on humans caused by organic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by organic substances (H.A)	14814.4442237	26125.0885437	26883.3279721	966.718224957	12747.8215939	11803.5284237
Respiratory effects on humans caused by inorganic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by inorganic substances (H.A)	768604568605	885857888501	805682134258	29897925349.9	190623689416	403635004620
Damages to human health caused by climate change (H.A) | ECOINDICATOR 99 (H.A) | Damages to human health caused by climate change (H.A)	1414048.94422	2089391.64178	1755881.32628	94550.1041567	378087.639256	856587.067796
Damage to Ecosystem Quality caused by ecotoxic emissions (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by ecotoxic emissions (H.A)	768609886226	885861485418	805690832593	29898235608	190621957281	403638230657
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A)	336207021662	483646471492	396116795637	22931130084.7	102923301326	361192946823
Carcinogenic effects on humans (E.E) | ECOINDICATOR 99 (E.E) | Carcinogenic effects on humans (E.E)	1808208.84916	1979315.50676	1276306.91896	50578.6153688	256064.146676	707055.168071
Respiratory effects on humans caused by organic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by organic substances (E.E)	4336237.83599	14466012.3927	4892801.44351	220963.902048	4874986.50144	3639549.88216
Respiratory effects on humans caused by inorganic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by inorganic substances (E.E)	3590388.46099	5550349.33798	4177744.90368	229507.613188	965631.051383	3017678.52546
Damages to human health caused by climate change (E.E) | ECOINDICATOR 99 (E.E) | Damages to human health caused by climate change (E.E)	1414048.94422	2089391.64178	1755881.32628	94550.1041567	378087.639256	856587.067796
Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by ecotoxic emissions (E.E))	768609886226	885861485418	805690832593	29898235608	190621957281	403638230657
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E)	336207021662	483646471492	396116795637	22931130084.7	102923301326	361192946823
Carcinogenic effects on humans (I.I) | ECOINDICATOR 99 (I.I) | Carcinogenic effects on humans (I.I)	153239.947287	214633.04621	132222.996872	5112.02672449	28504.1736992	76451.2823375
Respiratory effects on humans caused by organic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by organic substances (I.I)	14472.2359189	25503.7709583	25871.8113512	968.074381166	12258.8362349	11454.0080351
Respiratory effects on humans caused by inorganic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by inorganic substances (I.I)	4372131.91392	12715875.5434	5089761.55822	253784.087197	3977258.9748	4020278.50546
Damages to human health caused by climate change (I.I) | ECOINDICATOR 99 (I.I) | Damages to human health caused by climate change (I.I)	1360947.54736	2014523.1546	1690485.17489	91449.9159319	368556.416632	825464.912857
