impact	Europe	Asia	America	Oceania	Africa	Other
Value Added	1591067.34815	1574451.9439	1036638.14851	152042.287664	292410.823487	1174333.10395
Employment	51688.039584	175659.592223	31989.3476978	1562.47957153	85451.8348427	218619.393337
Employment hour	100125535545	391802662936	67793575949.2	2879256719.03	195715516763	459944790889
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	813955758752	2.20370461457e+12	813015309381	137271756045	547847665022	1.88825769348e+12
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	872139.553055	1519994.3494	488947.404707	14250.8171712	299721.979424	1480547.94806
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	476565717913	698026163596	299503061542	4601090150.75	183507409787	932549082328
EPS | Damage Approach | EPS (Steen, 1999))	1.10299130013e+12	6.51482741427e+12	1.15678319755e+12	41474254828.8	697222985981	3.08211573874e+12
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	295141.0474	451999.787246	125408.338943	2948.2039807	69905.6611446	395901.713624
Respiratory effects on humans caused by organic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by organic substances (H.A)	1802.28589447	2635.12781516	2110.19496819	196.14812433	782.806709683	3163.71833672
Respiratory effects on humans caused by inorganic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by inorganic substances (H.A)	149913616178	245180123134	92524784655	1760041469.41	58173525015.4	273846346383
Damages to human health caused by climate change (H.A) | ECOINDICATOR 99 (H.A) | Damages to human health caused by climate change (H.A)	158469.695728	439612.379758	156528.990721	26496.6123049	105283.614393	373675.270705
Damage to Ecosystem Quality caused by ecotoxic emissions (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by ecotoxic emissions (H.A)	149914837707	245183784587	92525949091.7	1760049500.04	58174255511	273849714742
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A)	39112100567.5	82288108009.3	59974400482.5	6151873414.6	28360143506.9	192550605735
Carcinogenic effects on humans (E.E) | ECOINDICATOR 99 (E.E) | Carcinogenic effects on humans (E.E)	295141.0474	451999.787246	125408.338943	2948.2039807	69905.6611446	395901.713624
Respiratory effects on humans caused by organic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by organic substances (E.E)	511917.091345	2251012.13274	412665.363881	30865.8636756	247873.65582	1088954.64823
Respiratory effects on humans caused by inorganic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by inorganic substances (E.E)	426791.220886	1166151.07228	512772.919991	53195.1284498	255307.362662	1532177.41835
Damages to human health caused by climate change (E.E) | ECOINDICATOR 99 (E.E) | Damages to human health caused by climate change (E.E)	158469.695728	439612.379758	156528.990721	26496.6123049	105283.614393	373675.270705
