region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
impact																																																
Value Added	58791.4298952	5079.51865592	643215.617412	7240.39601265	2892.25164464	224103.404618	96373.4816371	310912.048908	55204.6591657	7161.52954748	674630.811446	3473.1676068	2298.61899822	285736.06389	54652.5533622	331018.308394	13329.5135426	8780.2849102	824731.213978	3923.78118832	2151.8830619	169013.002399	62122.0206387	371806.239034	2471.46932306	1018.89350519	78921.4704744	127.078929468	58.0004558136	31150.4200888	11105.6587526	27022.063826	7643.89240816	1049.98219574	176383.053853	1562.92061948	544.60998757	55544.4130704	12751.4106106	53687.5596436	23979.8913336	6842.48986857	818662.01636	2741.47246491	951.78813454	135917.949099	16229.2283344	135934.122372
Employment	25987.3128103	450.978477208	76428.5774076	788.708317257	309.110406038	21719.1158333	8091.52556318	27069.1000527	15351.403459	397.721145696	60512.0745471	295.708953851	211.288570879	24225.1432271	3915.40999813	24912.2344155	4084.36182556	758.841488393	86812.6064314	357.335494206	205.580396711	13807.3620479	4191.68785461	27716.4173847	792.148040293	95.5730006246	8632.20311244	12.9128824757	5.73456969778	2719.44636931	862.83664297	2392.62612828	1303.20093877	70.3752405419	17110.000732	135.931411649	50.8687426023	4435.80713898	929.338674548	3755.58765046	7310.24760519	422.984647548	64367.1023915	213.482975895	94.0779595938	10084.8936904	1095.56031355	9478.1402889
Employment hour	53850188776.1	1014818284.65	168740968324	1748402514.75	687532276.213	48099034903.6	18122823345.1	59699093686.2	27996822550.4	876721827.721	128854693588	630327856.725	456722372.444	50965110505.1	8335633344.08	52566251161.9	8185202803.77	1683007541.07	189264608408	780171433.204	451358384.486	29840737131.3	9072295040.39	59337661212.9	1432326895.79	207788263.882	18804991158	28121826.7662	12471153.1992	5897193407.33	1876577827.1	5178192998.07	2506118920.45	151538564.539	36872927122.6	289680566.385	106684142.024	9549916669.08	1999612999	7983123251.91	16025430002.5	953022053.126	141469913327	468060814.916	209395235.617	22033313156.8	2384967691.92	20559783481.1
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	162454521848	8329058578.49	879049331937	8663871278.68	3530911238.1	179988313216	76999365375	250012285130	121668515332	11522285976.6	811540362759	4022533761.67	3004693997.09	280209285907	44663072340.6	273311926933	24797274041.7	13823913263.8	1.038593333e+12	4648501564.54	2972570579.24	123775054095	47027887856	272160621416	5660796917.41	1086829670.85	99429935149.2	147639589.463	61804065.1031	25433062724.5	9392514274.16	25881121489.5	13601927739.9	1378811320.84	199584695260	1528684539.27	611732415.884	42644255707.5	10641720501.7	39065451248.7	51148159013.1	16022017201.6	949492425807	3004789392.28	1284118836.57	125726260227	14906095526.8	119548457206
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	18411.8306034	2425.90833519	683668.821557	5973.52128459	2290.17697017	123826.986215	72846.4488289	172449.493741	23444.6261869	2290.4092977	581802.804965	2611.99123275	1717.99824736	185175.605143	42647.2074683	187878.529553	6337.41782901	4849.82473999	844355.359202	2976.83001165	1625.7755825	91332.6816174	56779.7146035	209085.249369	1241.71555447	853.80131268	91519.7162356	129.490009172	53.3473788993	20543.9334065	10620.3522943	21764.1730049	3879.29087118	676.101934349	191218.96469	1212.42529017	366.587693767	36696.0594338	11144.3385483	29597.1837903	8751.94986624	2653.74873322	726377.545865	2143.14224337	653.204901291	91441.9035636	12935.1806743	82322.6819487
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	11188828873.3	1451194628.13	380645346361	3536085446.82	1367717263.06	72267342494.8	49909852577.7	101573933957	14921477922.4	1392688888.75	344567355494	1580565839.11	1039886864.09	112316071411	28876700945	114537295673	3572116619.89	2726872298.55	441843981958	1633561885.28	885092492.903	50025670993.8	38328578880.3	118758907842	734687851.859	489718584.396	51059463490.1	73157089.1929	30396105.9182	11735121915.9	7027707962.6	12540586833.3	2233416757.78	382178901.077	105739758846	688302955.15	210697833.884	20659792375.5	7011953559.96	17003537113.3	4644104282.22	1371636141.55	355909911831	1078108289.64	332142291.715	45682374625.9	7222368398	41944273671.1
EPS | Damage Approach | EPS (Steen, 1999))	69019438699.4	6696058938.09	2.05110236697e+12	15298634442.3	5729703690.75	331004416988	95132523767.1	449531195988	57410452522.6	5484415597.39	1.18376077966e+12	5279660915.58	3596490171.1	363896917349	49050355612.6	366473452189	18868195898.2	13191287872.1	2.51905181068e+12	7955120869.46	4603595512.37	238742990599	65701377593.6	507242374793	3825425299.25	2161738703.21	245522641503	339582890.525	138068196.396	51996734465.2	15149972392.2	54435518484.9	10189580629.7	1613295091.83	485189996470	2803117728.97	846880540.228	88628824517.1	18127694469.9	67589766107.1	32394374856.1	9810680640.16	2.4744647643e+12	6876081048.41	2136970037.1	297313463499	33292386359.5	256743715950
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	5616.17625971	717.27378885	179815.23216	1764.30187883	692.757620855	36133.2579913	34460.5873644	51185.3526455	7587.90868849	645.600313451	152456.094401	709.585154949	455.984483383	52260.9005169	18391.099443	53525.901278	1985.67661447	1430.73030069	232855.767665	880.96440321	468.693519178	27778.8966096	27809.7071223	69052.781438	363.971608148	247.952080265	23917.3216324	36.1881628055	15.248048375	5832.35903352	4685.82969699	6474.25964462	1190.88768647	198.681498586	50724.4494227	356.807528391	114.22909517	10495.7253156	4438.58609658	9089.38961472	2767.9271594	851.913668471	203625.856657	625.859800185	195.517946259	26750.5882334	4739.45297104	24884.5180748
