impact	Europe	Asia	America	Oceania	Africa	Other
Value Added	1348608.14878	1414175.71241	1455857.93875	151875.055355	309167.842389	1141258.95797
Employment	160844.428868	129820.984317	137934.192923	15513.4807461	27791.1105296	93066.4898726
Employment hour	351962862110	270682283206	298615041955	33437663530.2	59459602236	204103885763
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	1.5690276586e+12	1.54994267701e+12	1.52779915582e+12	167093703880	309057278734	1.28113232321e+12
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	1081893.18753	1027569.17209	1217342.85296	146726.529196	274790.952252	927279.357796
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	621940301602	619232043038	657774782970	83690839833.3	153929638343	458184919531
EPS | Damage Approach | EPS (Steen, 1999))	3.02351433948e+12	2.03495252402e+12	3.37535675382e+12	373569681935	674989155555	3.11303243669e+12
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	310384.93971	286033.07428	362263.217672	41573.1299071	76608.7562582	264441.634511
Respiratory effects on humans caused by organic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by organic substances (H.A)	2471.95750716	2984.28454911	2380.25170942	290.943816681	537.093825088	2025.75044109
Respiratory effects on humans caused by inorganic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by inorganic substances (H.A)	187762020682	188855394648	208636179020	26002199383.3	49655421702	160487221398
Damages to human health caused by climate change (H.A) | ECOINDICATOR 99 (H.A) | Damages to human health caused by climate change (H.A)	309324.274786	301484.424518	301851.520661	33091.0934372	61235.2082649	253080.041942
Damage to Ecosystem Quality caused by ecotoxic emissions (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by ecotoxic emissions (H.A)	187764454445	188857501343	208638751536	26002525317.7	49656031725.9	160489326771
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A) | ECOINDICATOR 99 (H.A) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (H.A)	109985036460	122397003313	82432669766.1	11239692971.3	22572439259.8	59810389946.4
Carcinogenic effects on humans (E.E) | ECOINDICATOR 99 (E.E) | Carcinogenic effects on humans (E.E)	310384.93971	286033.07428	362263.217672	41573.1299071	76608.7562582	264441.634511
Respiratory effects on humans caused by organic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by organic substances (E.E)	1064147.89623	798690.35349	1214243.24841	131455.427806	234032.720623	1100719.10913
Respiratory effects on humans caused by inorganic substances (E.E) | ECOINDICATOR 99 (E.E) | Respiratory effects on humans caused by inorganic substances (E.E)	1021939.30457	1009924.42839	893859.037563	111233.558814	212106.461941	697332.33133
Damages to human health caused by climate change (E.E) | ECOINDICATOR 99 (E.E) | Damages to human health caused by climate change (E.E)	309324.274786	301484.424518	301851.520661	33091.0934372	61235.2082649	253080.041942
Damage to Ecosystem Quality caused by ecotoxic emissions (E.E)) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by ecotoxic emissions (E.E))	187764454445	188857501343	208638751536	26002525317.7	49656031725.9	160489326771
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E) | ECOINDICATOR 99 (E.E) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (E.E)	109985036460	122397003313	82432669766.1	11239692971.3	22572439259.8	59810389946.4
Carcinogenic effects on humans (I.I) | ECOINDICATOR 99 (I.I) | Carcinogenic effects on humans (I.I)	33109.5530694	28455.297073	38226.9372779	4380.43763351	8094.85660362	30222.3438835
Respiratory effects on humans caused by organic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by organic substances (I.I)	2536.29723878	3066.85385789	2401.97416522	291.225334722	535.494277639	2018.40536713
Respiratory effects on humans caused by inorganic substances (I.I) | ECOINDICATOR 99 (I.I) | Respiratory effects on humans caused by inorganic substances (I.I)	1233110.6393	1049661.9025	1257239.54404	144263.732934	263957.38722	1086614.2051
Damages to human health caused by climate change (I.I) | ECOINDICATOR 99 (I.I) | Damages to human health caused by climate change (I.I)	299440.586633	292875.614506	291222.302588	31929.0967622	59059.8915994	243866.048869
Damage to Ecosystem Quality caused by ecotoxic emissions (I.I) | ECOINDICATOR 99 (I.I) | Damage to Ecosystem Quality caused by ecotoxic emissions (I.I)	24560705672.5	23767724103.7	25460618063	3291866533.82	6107316294.15	19118598639.9
Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I) | ECOINDICATOR 99 (I.I) | Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I)	109985036460	122397003313	82432669766.1	11239692971.3	22572439259.8	59810389946.4
Unused Domestic Extraction	2614606.54175	5402643.09246	2589698.07094	211872.306639	418687.075651	2570499.00642
Water Consumption Green - Agriculture	510824.788629	459591.353486	288140.812743	35029.1403419	73024.1562391	324049.895299
Water Consumption Blue - Agriculture	76223.6119378	80989.2860159	50995.8646691	6652.32714436	12530.3181949	40922.0760038
Water Consumption Blue - Livestock	2062.67290733	1940.12570405	1144.04358644	141.864478262	314.692941288	1430.99834947
Water Consumption Blue - Manufacturing	5272.69959649	2320.94849886	6421.41983069	608.917634823	1079.64901974	6308.7356806
Water Consumption Blue - Electricity	120.595855421	186.302591495	137.614020574	17.0138585052	36.2562605241	84.607381725
Water Consumption Blue - Domestic	0	0	0	0	0	0
Water Consumption Blue - Total	83679.580297	85436.6628103	58698.9421068	7420.12311595	13960.9164165	48746.4174156
Water Withdrawal Blue - Manufacturing	22381.0756641	15674.278806	26206.8270814	2942.00695731	5419.26730424	23211.5638533
Water Withdrawal Blue - Electricity	9901.41242258	13479.874356	9161.17986442	1245.65140666	2431.20376059	3934.59079404
Water Withdrawal Blue - Domestic	0	0	0	0	0	0
Water Withdrawal Blue - Total	32282.4880867	29154.1531619	35368.0069458	4187.65836397	7850.47106483	27146.1546474
Carbon dioxide (CO2) IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	888313.161062	769861.706623	1000717.55749	108859.057053	201876.902582	852275.826526
Methane (CH4) IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	20490.74821	25003.9971661	16177.7862202	1776.8553288	3112.22391382	11676.2413987
Nitrous Oxide (N2O) IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	16.5545966984	14.657460052	13.8011400488	1.76405573953	3.26845416031	13.2735846623
Carbon dioxide (CO2) CO2EQ IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	888313.161062	769861.706623	1000717.55749	108859.057053	201876.902582	852275.826526
Methane (CH4) CO2EQ IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	500313.53747	614289.529697	397235.092689	43568.2881314	75976.6011076	283803.579678
Nitrous Oxide (N2O) CO2EQ IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	147438.869756	133227.88461	90050.7285134	10694.5820653	22775.6404543	100536.795278
Carbon dioxide (CO2) Fuel combustion and cement	869065.370222	756097.460856	978535.999684	106574.24417	197361.846456	828655.268129
Carbon dioxide (CO2) Fuel combustion	784283.303758	710174.222005	873618.239391	96068.0277415	178530.231413	730977.761893
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 1999) | GWP100 (IPCC, 2007)	1.56911496559e+12	1.55004807885e+12	1.52788322385e+12	167103979715	309076248333	1.28120387062e+12
GHG emissions (GWP100min) | Problem oriented approach: non baseline (CML, 1999) | net GWP100 min(Houghton et al., 2001)	1.5565715543e+12	1.52276131387e+12	1.52730677286e+12	166953684108	309179501719	1.28629494883e+12
GHG emissions (GWP100max) | Problem oriented approach: non baseline (CML, 1999) | net GWP100 max(Houghton et al., 2001)	1.57998336871e+12	1.53921274051e+12	1.5557636905e+12	169828638234	314640085736	1.31458757525e+12
GHG emissions (GWP20) | Problem oriented approach: non baseline (CML, 1999) | GWP20 (IPCC, 2007)	2.50444705203e+12	2.69974033741e+12	2.27073258964e+12	248573119748	450965519401	1.81057477785e+12
GHG emissions (GWP500) | Problem oriented approach: non baseline (CML, 1999) | GWP500 (IPCC, 2007)	1.15015037171e+12	1.05914403055e+12	1.20923907059e+12	131726213567	245457174681	1.03630226039e+12
ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	44417.9864569	53623.8629919	42770.1479036	5227.896706	9650.90466956	36400.2032384
human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	1.0157452897e+13	7.22749106583e+12	1.16364350576e+13	1.28955607466e+12	2.33314442745e+12	1.01660293878e+13
Freshwater aquatic ecotoxicity (FAETP inf) | Problem oriented approach: baseline (CML, 1999) | FAETP inf. (Huijbregts, 1999 & 2000)	7440273330.88	5510867443.9	8849797371.47	955941590.749	1760915717.38	7685914811.05
Marine aquatic ecotoxicity (MAETP inf) | Problem oriented approach: baseline (CML, 1999) | MAETP inf. (Huijbregts, 1999 & 2000)	1.92672001212e+13	1.67946342164e+13	2.29521389146e+13	2.56727781189e+12	4.73445055783e+12	1.79833864274e+13
Freshwater sedimental ecotoxicity (FSETP inf) | Problem oriented approach: non baseline (CML, 1999) | FSETP inf. (Huijbregts, 1999 & 2000)	13016659462.4	10111053354.2	16123998525.3	1701634814.02	3185993683.56	13730091357.6
Marine sedimental ecotoxicity (MSETP inf) | Problem oriented approach: non baseline (CML, 1999) | MSETP inf. (Huijbregts, 1999 & 2000)	1.82949134335e+13	1.58173319182e+13	2.14796640116e+13	2.42110567391e+12	4.45407372451e+12	1.67112672005e+13
Terrestrial ecotoxicity (TETP inf) | Problem oriented approach: baseline (CML, 1999) | TETP inf.(Huijbregts, 1999 & 2000)	62859670622.3	60274201879.4	69117418225.4	8497687358.72	15877822291.1	52464714610.6
human toxicity (HTP20) | Problem oriented approach: non baseline (CML, 1999) | HTP 20 (Huijbregts, 1999 & 2000)	1.78298107609e+12	1.88864311385e+12	2.2127352595e+12	249448269724	463446217695	1.38003879419e+12
Freshwater aquatic ecotoxicity (FAETP20) | Problem oriented approach: non baseline (CML, 1999) | FAETP 20 (Huijbregts, 1999 & 2000)	1310291754.88	791366543.633	1808274450.85	168356075.003	328345664.53	1801654723.79
Marine aquatic ecotoxicity (MAETP20) | Problem oriented approach: non baseline (CML, 1999) | MAETP 20 (Huijbregts, 1999 & 2000)	57780535493.3	40976067478.8	74582525285.8	7497437638.5	14182981069.2	67233002570.1
