region		Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other
category		Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)
region	sector																																										
Europe	food	175555.868487	884.029937647	2098.27717525	11532.6660082	13703.6407867	1438.49786018	0	1100.46418746	32.3173170101	19.199405462	99.5999285647	97.6626802676	0	0	583.717757751	0	0	5.85888155684	204.340732206	0	0	52.8993141188	0.140675517763	28.8742003408	2.72675079545	0.318595457715	0	0	1523.31624247	0.000514006430243	0.0173114586813	2.35809831428e-09	1.83804012799	0	0	1900.35909213	0.081138353731	1.23371688042	79.9499273548	0	0	0
Europe	mining	17567.2830525	261.05959303	1260.98552988	11122.6791652	28102.5408141	7475.08574783	0	529.495547268	0.0559271222968	28.3356365492	0.097256032301	143.463407955	0	0	3.39141993523	0	0	263.42070382	29.5791355236	0	0	0.303180585536	0.0186701433119	0.257601800893	1.59939580303	0.226449660063	0	0	142.469323999	0.000327746132	5.40154122219	1.56242582533	26.6119717937	0	0	119.644161565	0.000424794904622	0.129666275346	702.008318023	0	0	0
Europe	manufactoring	1781321.30999	6333.10557115	165958.826568	743536.869169	132234.938645	2577.78035099	0	38117.7764663	265.414257998	665.71420761	87142.053103	3792.36982012	0	0	96901.4181401	1.261124324	1.26576419382	81725.087751	2261.71861919	0	0	6580.46566541	486.321613946	456.266435516	7718.65864396	66.1246300368	0	0	30000.1554864	19.405242077	43.6575771079	25471.9692018	69.408860672	0	0	87440.5924053	44.6216996369	713.188542547	106544.920476	0	0	0
Europe	electricity	174116.861708	0.510826121264	11095.0821739	5.80122380366	1210.68938133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Europe	gas	50605.4722735	0.0653402154045	567.111011996	361.092999355	587.787498641	0	0	1.88040500372e-07	0	0	3.49469727118e-09	7.02292417028e-09	0	0	0.0159732848533	0	0	0	0	0	0	2.67753064509e-07	0	0	0	0	0	0	0.0162120691063	0	1.68053016661e-05	0	1.5900841862e-09	0	0	0.00659155851853	0	0.00297670815318	0	0	0	0
Europe	construction	1160871.3357	38543.1325753	21971.9544332	1492145.10542	15288.4833207	21778.4509642	0	25446.3235006	10.6450222188	29.2588128852	5058.75950779	773.561111708	0	0	50972.2332162	0.0403306569284	0.0336638149914	3975.44735293	311.521113517	0	0	6573.42441298	0.877698150986	0.878526843033	810.337520718	0.472686877176	0	0	7805.68277182	34.9696200648	39.9207796794	3695.84566808	122.649858274	0	0	13127.884726	21.2861552464	158.180326911	5423.80566458	0	0	0
Europe	transport	746674.791466	1790.41221478	85141.1472322	7647.88606199	2374.68569356	1020.07344962	0	9799.29522197	59.5727665702	738.749716942	136.401075344	51.2895667055	0	0	23574.2508989	0.270729268577	73.868268414	162.310746269	182.372083885	0	0	2425.62209514	508.831344562	462.456782409	0.768014608542	0.621892635777	0	0	2126.27296886	0.771650144753	13.860513678	38.9068253773	157.787471944	0	0	2210.29808995	15.8995547031	152.996209192	54.6798602439	0	0	0
Europe	other	2537754.54793	931452.012759	2824136.32193	494968.178601	5356.94351394	1186.0544589	0	38052.497754	3118.99178916	3777.24600707	4090.10902117	0.0495907154918	0	0	40508.5697024	4229.80795364	13457.7459134	8385.03344349	1.31206701976	0	0	1315.17175246	164.594573336	166.96617946	376.409673758	0.136742997273	0	0	3062.24593438	154.112254146	961.482216966	4993.10588654	0	0	0	4298.86203926	479.256579058	1267.97600155	10433.5633186	0	0	0
Asia	food	4627.54922894	9.7742221175	2.1283675262	40.3137501448	82.8499322633	0	0	372567.364237	13944.7504203	8467.29839218	45083.3438443	25308.5798687	0	0	1472.7992938	0	0	8.4098231164	62.7763319704	0	0	149.712079932	0.271001948058	0.575067000123	5.28044974403	0.610780136602	0	0	388.560083051	9.11427171786e-05	0.011234368335	0	0.026547532147	0	0	5911.55149087	0.0136127438927	0.0867704325461	381.495674178	0	0	0
Asia	mining	3.43817776703	0.00656173675438	0.0152437426615	1.81287904091	159.762646327	0	0	2698.36384029	247.612281767	371.997702615	368.697624305	17365.7231013	0	0	0.543079515136	0	0	27.5675333431	8.79604928229	0	0	0.227571878189	0.00565645255872	0.0330065884838	0.965872273755	1.67264401164	0	0	0.678811818033	1.49986626166e-06	0.179833199865	0.00722547189388	0.0239994577984	0	0	1465.17377279	0.000735451102658	0.431820052572	2679.7303339	0	0	0
Asia	manufactoring	125419.301885	311.575874586	1911.14167002	63707.7186315	10825.1511585	0	0	1333247.3982	15761.6868955	24340.3998954	1224301.76694	196788.972527	0	0	185062.355319	0.466820847212	0.468226875729	131917.133567	2329.62328067	0	0	10800.2573826	535.848060511	502.729483148	10818.9122319	118.43858435	0	0	22195.2841177	24.075415961	29.3631446382	18278.21565	31.7016902381	0	0	221125.769684	68.1132756481	1164.67412779	244779.845273	0	0	0
Asia	electricity	0	0	0	0	0	0	0	63656.202814	3252.0359422	3463.05740119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia	gas	2.64393428404e-08	0	0	0	9.87454827619e-10	0	0	29041.4631978	0	0	0	138.799050905	0	0	0.00668860961816	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018918913629	0	1.95959991672e-07	4.21781836628e-08	1.84939574708e-08	0	0	0.0181648348146	0	0.000638074613296	0	0	0	0
