region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
impact																																																
Value Added	45039.9639289	62520.9728851	611598.159136	21412.0805131	4605.27291527	251229.917276	168159.02401	426501.957484	140213.173699	58823.9016779	892692.082194	21695.6944217	3709.09063663	159587.298635	98897.4928865	198833.20975	65221.7176765	82647.7906218	330973.21611	12203.5229844	1627.50239178	182385.208668	91808.4861567	269770.703899	9065.39448547	44176.8781871	40989.6634284	440.015619786	12.0155223585	19708.8665641	9873.37921966	27776.0746372	50192.1188715	86191.1039894	65003.5375151	2815.06908583	70.8967178859	33119.305523	24475.0949668	30543.6968171	107344.746816	278175.265271	403028.891276	17155.3200816	1882.72161342	143594.549092	98258.1185874	124893.491216
Employment	7404.36541633	1252.54405152	18368.3347411	233.374652257	97.5960237502	8687.51505234	4396.51712111	11247.7925256	94887.6411062	3818.35132395	50377.7487904	161.741729982	70.4857359465	11867.5600471	5362.85487867	9113.20861083	8335.20140617	1263.30190533	9198.93333907	113.802695313	21.3532474076	5886.09787403	1427.9001356	5742.7570949	140.651434987	79.9758218567	596.494644139	1.66192837369	0	325.613715159	83.0482023577	335.03382466	49546.4299869	6845.82303501	13899.8437723	266.82042947	16.9387633663	5542.98013261	3982.39377316	5350.60494986	61289.1098028	20180.4961116	98546.0902131	2242.70220094	528.491178646	15517.6391992	10010.1349294	10304.7297018
Employment hour	15769623736.5	2575840467.51	36249412213.8	470859217.714	193389576.987	16406485292.7	8531163584.25	19928761455.6	195820403368	9009734299.83	122684965741	368998608.401	163151233.876	29863602012.1	13073701952.1	20818105721	17461418927.5	2984292510.77	20298516877.1	223888467.144	42155008.8877	12205458672.8	3187434384.16	11390411100.8	298278790.273	187143423.145	1093985813.07	3306698.88273	0	561134395.697	161497985.667	573909612.3	116710209495	15178683038.8	31635346997.5	600927232.819	38536517.7505	11783540061.1	8402215690.34	11366057729.6	98160652190.3	47342268716.7	224143954663	5167957569.93	1210424403.56	36263047071	23497792398	24158693875.7
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	118513422640	185220234470	307520742784	23767096987.3	7658773894.98	25023797243.1	83981789387.9	62269901344.6	306217335719	276799852379	1.39744468443e+12	86782959136.1	22544338797.4	9447447409.57	58215196895.1	46252799811.3	308983135117	161334286476	236293297704	31742464586.9	3843015396.92	7097116246.05	33082283709.9	30639710145.6	47078909595.4	58051910372.1	18642122905.6	1790167872.78	828802458.704	2998195077.23	4530104386.26	3351543376.85	212869103451	195357560714	88450912179.6	12092076324.7	226329552.465	7970289766.47	7101935712.72	23779457320.9	362847629019	543265358313	612196584618	180244685613	2589081001.39	35645706917.8	102241993547	49226654448.3
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	5788.47416993	7581.84312642	649774.036241	963.112275514	302.511638308	8337.47673967	189630.006509	9762.09235461	456.80221219	5781.19827203	1365106.91293	586.377503813	103.734022537	700.069479778	146579.448139	679.806846602	970.856137231	7436.50936739	453147.588092	516.913779064	63.5615051418	1294.43261221	24975.0966607	542.44655336	47.9564247464	54.9241724791	12705.1198981	3.92592129405	0.146694295155	116.77262268	1234.69642824	87.2750093635	266.943933367	21660.6113403	270919.425944	388.969852631	44.5091147901	815.35863704	4555.80882164	1070.35178028	759.913898451	43558.1415683	1293547.21612	2201.60961879	349.125576597	4007.11547102	133479.060748	2645.76506289
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	3939629107.18	2875903928.24	312008305018	682677929.962	186300921.389	4999572381.11	145416237369	6457091258.11	1111759914.43	3354859244.7	578679239438	1043246252.92	76420007.2722	503404891.769	112608759904	648473942.469	2033043822	4797340814.04	271631147688	319117924.622	34728200.9087	919612774.196	19335765620.6	432304698	147896360.336	57963114.1572	3296908948.48	1832584.61496	147745.781496	64355741.3411	997377407.029	34608249.0079	310778308.193	12762932558.2	165505663913	293405764.944	29346702.2166	553884460.935	3445147410.37	606250669.549	2044484519.57	27895079498.8	792226056365	2200544341.54	216769672.453	2544304269.37	103592581060	1829262600.46
EPS | Damage Approach | EPS (Steen, 1999))	23678870687.2	26286947053.3	1.00879113582e+12	3924193043.67	1334829722.08	11237065511.5	16227371610	11510886681.3	45377110711.9	49493916926.4	6.38792800176e+12	10250906810.5	2511887386.14	2216732987.21	10783696683.4	6265161008.27	46558305257	34774587694.2	1.06018428668e+12	4100707246.42	515574495.44	2476365253.21	4872120424.91	3301250501.24	6656778355.1	6932807525.67	26071171137.9	200356521.919	90462658.783	475945340.768	593340877.993	453392410.623	29355185159.6	69564075637.1	586834748584	2097567958.06	118361228.132	2833486266.26	1442585396.08	4976975752.06	62320440811	160117919126	2.79680917827e+12	23653099535.9	928217448.48	10422393021.2	16787002012.7	11077488520.3
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	2902.73781736	2124.81597665	162831.377769	350.961760755	75.5166216427	2958.48875516	118954.912818	4942.23588109	1601.27611594	2140.17686279	353947.370198	712.955934489	21.3511851834	169.645356435	92195.9311011	1211.08049264	2386.04625862	1739.66181265	104301.916682	309.377373944	18.283684575	534.723927146	15687.0322024	431.297001653	289.101647002	40.1244844584	1802.93788819	1.10094205851	0.0395476911651	25.4411459638	766.525302633	22.9330227031	277.470287106	4921.05445457	61183.4199443	195.951411506	10.3481383698	213.517933504	2789.6160326	314.282942707	1781.52897988	10656.7801917	293853.124602	3224.46554299	105.965255242	1388.51391293	83808.3803524	1082.95478713
