region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
impact																																																
Value Added	279277.528004	262139.085474	2695375.34485	253352.208948	59233.6434902	2706984.64999	1296343.90381	6500586.61558	830364.898639	221212.959638	3160825.60158	135116.206857	34279.9948046	2519742.59307	840160.911674	3807944.72822	328134.358074	416386.090916	2383864.61641	252005.221832	35066.0949478	3000303.44111	1346269.17266	8015461.15637	22695.1944093	73276.305194	114680.970215	3577.10889006	88.1360296514	166203.855921	69991.8562985	433573.915021	173024.802922	129913.880105	220981.631206	21679.6012739	1835.61158832	241772.662756	104304.520944	369252.111156	250297.257769	375462.154043	731519.37317	67897.3623126	11216.7965082	676599.826493	277804.453296	1036191.92538
Employment	45911.9566165	5251.68974553	80951.1210059	2761.33763021	1255.29326562	93607.3623248	33892.9070354	171434.7338	561939.826412	14359.2786812	178376.487596	1007.29336526	651.440177326	187378.29879	45558.9005599	174531.179829	41934.8962319	6364.61468661	66256.1519433	2350.04871251	460.076129423	96828.4645182	20938.5647741	170629.522626	352.120546556	132.65610815	1668.87402326	13.5106539242	0	2745.88367749	588.72425701	5229.75002478	170798.951642	10318.5525168	47252.9691111	2054.85561678	438.567415449	40464.0449158	16971.6062506	64685.1029699	142908.680395	27238.2684073	178866.517268	8876.17154167	3148.62163635	73117.2043521	28301.5805866	85494.268806
Employment hour	97782083965.1	10800031306.6	159754849629	5571304611.82	2487402911.56	176778722571	65767043844	303746882540	1.15967982968e+12	33881975407.3	434400381025	2298045470.84	1507869178.07	471519918041	111064628945	398696958277	87849441795.6	15035101160.7	146201909380	4623342202.11	908269967.31	200784262736	46740174366.4	338433330285	746740270.848	310415293.071	3060755906.49	26881822.9132	0	4732017437.49	1144850567.76	8958509822.69	402329318842	22878481852.3	107545386767	4627901626.9	997762388.242	86020458831.1	35807382306.1	137407755103	228882575001	63899391530.6	406833477114	20453753463.8	7211413586.85	170867010702	66435134975.6	200435132991
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	734861505717	776594807064	1.35527521747e+12	281217255761	98508186336.5	269629651421	647418604770	949095027891	1.81346816584e+12	1.04093256016e+12	4.94804314213e+12	540465957455	208358299260	149166856243	494553820013	885808288408	1.55451261189e+12	812814866204	1.7019239143e+12	655488324145	82801440707.2	116750160007	485114836159	910370929703	117861942749	96290857934.9	52156972340.4	14553177488.4	6079415933.48	25283624556.4	32113667283.1	52316311870.6	733813106535	294457984010	300691740824	93124319617	5859977184.74	58183532213.2	30266031788.6	287477146937	846056926170	733262827846	1.11117012088e+12	713372800143	15425113584.9	167958179947	289068033559	408414092327
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	35892.363494	31789.2913634	2863620.32136	11395.7456081	3890.94563229	89835.7241793	1461864.47242	148790.235981	2705.25595146	21740.7540732	4833542.23181	3651.83536241	958.726033417	11053.4792017	1245231.99918	13019.2883824	4884.43522681	37465.7210102	3263836.61482	10674.3742547	1369.49339404	21293.8902724	366231.969681	16117.2403639	120.058799928	91.1028707836	35546.4123085	31.9157941926	1.07602918639	984.737508482	8752.696828	1362.32955835	920.222586743	32648.5441586	920999.363407	2995.56105215	1152.40097611	5952.160701	19415.3059386	12939.8106887	1771.90193806	58791.8327081	2347858.60067	8713.53523262	2080.00509506	18881.0344792	377384.363051	21950.866838
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	24428302829.9	12058142905.8	1.37505236105e+12	8077587857.49	2396227663.92	53870039997.4	1.12101895178e+12	98416619833.7	6584020490.37	12616271983.3	2.04897544361e+12	6497117528.14	706285639.5	7948318933.93	956641828041	12419217764.1	10228364925.6	24169381580.8	1.95644798482e+12	6589849790.74	748252289.261	15127966741.7	283537462326	12844691675	370258200.637	96143571.4173	9224099084.92	14898004.578	1083742.02888	542708649.771	7070355001.57	540221547.155	1071330653.82	19237276394.1	562641865096	2259596408.3	759825677.043	4043385537.97	14682045185.5	7329150134.02	4767153344.53	37650891158.9	1.4379334105e+12	8709319076.05	1291460876.49	11988448294.8	292886539665	15176668676.1
EPS | Damage Approach | EPS (Steen, 1999))	146824639600	110216395275	4.4458452253e+12	46431871734.6	17168760534.4	121078588810	125097385557	175444718554	268730526118	186126651498	2.26182429214e+13	63840484575.1	23215255431.2	35000257370.9	91610415717.2	119986932077	234237615211	175197116877	7.6360735095e+12	84680435364.7	11108545401.2	40737114840.1	71444218374	98087170985.3	16665229422.9	11499466258.1	72941979773.8	1628799214.19	663559963.432	4013622528.01	4206161694.45	7077282340.37	101194674406	104852340481	1.99496373502e+12	16153932848.3	3064531736.38	20684597960.6	6147807755.74	60168185096.3	145313449430	216116334993	5.07636087946e+12	93614287659	5530093329.12	49109032023.9	47461766861.2	91905543246.4
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	17998.8919031	8908.96752265	717614.457222	4152.65285825	971.305007601	31877.5077994	917027.658596	75327.7490429	9483.01393247	8048.34165128	1253249.50411	4440.13911939	197.330987259	2678.55044846	783229.334393	23193.9502622	12004.3412731	8764.55348941	751244.017638	6388.70544598	393.939463646	8796.40432674	230032.851524	12814.7508742	723.765313609	66.554588952	5044.26357672	8.95011324105	0.290089467371	214.543872651	5433.85680195	357.975724307	956.509564102	7417.39284928	207995.017793	1509.07432145	267.927250732	1558.69208349	11888.3936628	3799.46280864	4154.0162097	14383.8009538	533359.414587	12761.7965853	631.31516445	6542.50651237	236950.815059	8984.84776942
