region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
impact																																																
Value Added	283188.913573	283878.97414	2740596.9524	261457.085894	67984.7816517	2748014.25614	1359356.76328	6679706.88339	843598.795227	264539.089748	3245943.50139	142252.936838	36051.1041426	2562442.75727	872746.768717	3908975.90096	331205.730888	431628.301921	2410494.39878	256409.898898	35669.0849573	3043912.20123	1396301.99426	8172896.40971	23095.0397084	85308.9120882	117466.624787	4318.77771662	92.3493690233	169100.384877	71631.8315414	444790.137005	175310.683587	135491.454843	224646.923885	22169.9052028	1853.44028346	244968.096584	108008.225242	376290.71703	253527.077911	387065.39831	744429.208604	70313.4082806	11766.1738728	689174.042453	290821.577761	1061166.74045
Employment	46554.9706315	5687.22628588	82309.2768679	2849.6743445	1440.74943805	95026.163576	35540.3780359	176158.52832	570895.712629	17171.6454496	183179.989565	1060.49779518	685.097468927	190553.656522	47325.9142355	179161.785323	42327.411362	6597.59749303	66996.2891537	2391.12407433	467.987512487	98235.8452597	21716.7267472	173980.933305	358.324227507	154.439395357	1709.41175629	16.3119191778	0	2793.73775125	602.518621918	5365.03961478	173055.425943	10761.5575121	48036.7263889	2101.32804815	442.827077349	40998.8455689	17574.2437053	65918.1167618	144752.765058	28080.0370871	182023.149051	9192.01942933	3302.8351371	74476.0452532	29627.7119451	87554.8943536
Employment hour	99151558390.5	11695706508.1	162435133519	5749533720.2	2854890124.23	179458147207	68963857189.3	312116469189	1.17816216554e+12	40518001060.1	446098352621	2419426394.65	1585774708.6	479510408014	115372299144	409275058575	88671722000.9	15585475415.2	147835108263	4704151358.44	923888407.774	203702618469	48477228777.9	345080650515	759896385.816	361388185.134	3135103103.51	32455432.9622	0	4814484991.87	1171675496.93	9190259545.95	407644607723	23860720565.5	109329179006	4732565837.35	1007453328.06	87157364389	37078851217.9	140026992754	231836061418	65874131835.2	414013264050	21181575678.1	7564614912.05	174042475147	69548095947.1	205266120629
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	745153514207	840999871322	1.37801332114e+12	290213550928	113061718719	273716412091	678888415707	975246845508	1.84237021868e+12	1.24480659905e+12	5.08128903846e+12	569012937066	219123333840	151694673677	513735217118	909310270864	1.5690630168e+12	842568731592	1.72093584272e+12	666945286693	84225278793.4	118447098274	503143670618	928251931825	119938441540	112102654640	53423889669.7	17570596975	6370042168.99	25724256635.7	32866120812.6	53669694412.9	743507723514	307099908118	305679138329	95230410924.1	5916893227	58952525799.7	31340735272.2	292956975687	856974391770	755923507789	1.13078002313e+12	738757313160	16180606317.9	171079585458	302612937274	418257892671
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	36395.0493837	34425.661494	2911664.65574	11760.3017974	4465.79129095	91197.3589343	1532922.97804	152890.073194	2748.37082489	25998.8352508	4963704.73214	3844.72238554	1008.25954823	11240.7941195	1293528.64253	13364.7119816	4930.15406484	38837.1895524	3300296.42808	10860.9464659	1393.04294627	21603.3923515	379842.63475	16433.8062819	122.17400308	106.062754858	36409.8513412	38.5331352786	1.1274687186	1001.8990881	8957.78077441	1397.5719708	932.379913226	34050.2396122	936275.439546	3063.30839374	1163.59386997	6030.82855135	20104.7156727	13186.4666313	1794.76644972	60608.7295337	2389293.55	9023.59590284	2181.87978955	19231.9275711	395067.518115	22479.9375889
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	24770430289.6	13058156634.5	1.39812227536e+12	8335994349.68	2750244707.58	54686545005.7	1.17550959232e+12	101128438373	6688952968.18	15087258503.9	2.10415232095e+12	6840290079.63	742776575.353	8083013058.85	993745427383	12748720481.4	10324103519.2	25054124904.3	1.97830316221e+12	6705030579.58	761119095.665	15347848458.9	294074864174	13096980002.4	376781431.867	111931182.395	9448156779.48	17986919.6524	1135550.27322	552166741.521	7236020091.4	554196660.933	1085484312.64	20063187734.3	571974075640	2310699239.15	767205615.39	4096825702.71	15203383602.7	7468856848.28	4828668392.8	38814450474.5	1.46331002303e+12	9019229719.41	1354714174.55	12211246663.9	306610367688	15542464321.1
EPS | Damage Approach | EPS (Steen, 1999))	148880973243	119356932857	4.52043530731e+12	47917252929.1	19705261526.9	122913769816	131178136162	180279006109	273013404643	222580878831	2.32273297795e+13	67212487911.2	24414694226.7	35593380153	95163549252.3	123170387018	236430104433	181610374864	7.72137490386e+12	86160523629.9	11299565870.1	41329219973.4	74099375236	100013744929	16958838436.4	13387778675.2	74713774685.6	1966510376.75	695281420.941	4083570206.45	4304716032.22	7260366163.05	102531586489	109353951587	2.02805302815e+12	16519268752.9	3094296531.07	20957979836.3	6366107612.75	61315098352.2	147188565083	222795172255	5.16594836813e+12	96945439482	5800946785.08	50021694945.3	49685689909.4	94120696531.1
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	18250.9730733	9647.81179581	729654.219855	4285.49851432	1114.80494814	32360.6732987	961602.662818	77403.365811	9634.1489647	9624.66655613	1286998.27079	4674.66371648	207.526285018	2723.94180879	813607.085568	23809.3247392	12116.703196	9085.38835052	759636.048194	6500.37053035	400.713572976	8924.25815676	238581.805073	13066.4511208	736.5166544	77.4834315533	5166.79110568	10.8058073754	0.303957182755	218.282850522	5561.17719464	367.236279543	969.146288328	7735.84275579	211444.909133	1543.20341171	270.52954051	1579.2928303	12310.5335116	3871.88736745	4207.61937477	14828.3164773	542772.128074	13215.9097663	662.235780779	6664.09520717	248053.654539	9201.4050558
