region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other
category	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)
impact																																										
Value Added	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hour	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	1.12180755114e+12	38811159791.5	91135750115.4	0	0	0	0	973350469616	36991388582.3	66560386593.6	0	0	0	0	1.97514631293e+12	215801069.05	441132293.676	0	0	0	0	53750514801.7	93841138.2886	165724500.419	0	0	0	0	351434839520	4611826.79714	923851314.522	0	0	0	0	587714274660	176238360.422	904363135.109	0	0	0	0
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	33732.4875269	1049.7138776	3308.61966344	0	0	0	0	53840.1721108	1533.58702028	2425.55130003	0	0	0	0	23524.4954714	0.352401965813	1.22978855579	0	0	0	0	624.841701198	1.55326393871	2.28287205908	0	0	0	0	20540.6228479	0.0350512250976	78.6771917169	0	0	0	0	12958.1132743	38.5659897111	86.37049635	0	0	0	0
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	43765725531.1	587565674.828	1839759267.75	0	0	0	0	57209410304	781096722.493	1322734211.38	0	0	0	0	67855559223.4	200820.314206	825263.636809	0	0	0	0	1922493278.21	1241040.30611	1812092.4997	0	0	0	0	21745444955.8	27556.1912207	61444056.4984	0	0	0	0	23602835261.5	18671088.2085	45068137.1343	0	0	0	0
EPS | Damage Approach | EPS (Steen, 1999))	172779801857	4734026198.28	10680627783.6	0	0	0	0	378013140055	7964718381.88	15480776988.3	0	0	0	0	274471201548	23990262.2244	53612875.4694	0	0	0	0	7575138782.45	23331281.2389	37044492.9991	0	0	0	0	192234394869	766881.974163	743003075.944	0	0	0	0	126067795682	87639769.5075	324549066.864	0	0	0	0
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	18080.6540887	269.849288553	735.26351824	0	0	0	0	59831.7736206	345.245359897	585.035841078	0	0	0	0	9012.02607494	0.0775629277554	0.372555596163	0	0	0	0	101.940195935	0.631177803739	0.91798776335	0	0	0	0	13937.4413158	0.0153898163919	31.1245235192	0	0	0	0	20721.9109953	6.92757707728	17.8957700393	0	0	0	0
Respiratory effects on humans caused by organic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by organic substances (H.A)	4681.97858426	11.0325968491	19.104958823	0	0	0	0	13700.4532019	115.268590929	295.593642632	0	0	0	0	11504.7550071	0.0204451967472	0.332364754889	0	0	0	0	245.856213148	1.11909488254	1.61094824114	0	0	0	0	10854.3926575	0.0166766568671	40.1908243323	0	0	0	0	7036.21825121	0.362554840658	6.81912848925	0	0	0	0
Respiratory effects on humans caused by inorganic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by inorganic substances (H.A)	9408607192.87	143512570.095	413344403.555	0	0	0	0	22341421678.5	210123290.915	341558577.166	0	0	0	0	8905200333.99	43689.9581293	184883.685667	0	0	0	0	209766028.362	283587.055566	413752.7955	0	0	0	0	5848681852.49	6730.52740975	14229185.6861	0	0	0	0	7942818759.99	4829701.06269	11409318.9924	0	0	0	0
