region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other
category	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)
impact																																										
Value Added	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hour	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 2001) | GWP100 (IPCC, 2007)	157465.409672	39371.2961252	29015.7945152	0	0	0	0	191541.507126	45623.2575122	35487.4400178	0	0	0	0	204420.864962	244.886684799	158.604002312	0	0	0	0	115161.574836	3087.2382332	950.720379103	0	0	0	0	503831.398649	83.4187567882	4752.15532867	0	0	0	0	369520.463835	878.781401266	1849.95935749	0	0	0	0
Human toxicity (USEtox) | USEtox2008 | CTUh (Rosenbaum et al., 2008)	0.00473494759619	0.00106486371816	0.0010533981249	0	0	0	0	0.0105949789227	0.00189144658325	0.00129321073202	0	0	0	0	0.00243470454851	3.99898617298e-07	4.42156218761e-07	0	0	0	0	0.0013387360958	5.11001454723e-05	1.30962711245e-05	0	0	0	0	0.0294478793074	6.34006815554e-07	0.000404703906338	0	0	0	0	0.00814730598526	0.000192302483967	0.000176678926563	0	0	0	0
Fresh water Ecotoxicity (USEtox) | USEtox2008 | CTUe (Rosenbaum et al., 2008)	6143.28892092	596.045629682	585.742442488	0	0	0	0	11257.9970047	963.364130895	705.231044891	0	0	0	0	7022.81750884	0.22788682745	0.296713973646	0	0	0	0	4118.98108039	40.8284378455	10.3955254892	0	0	0	0	31175.1616923	0.49843658805	316.05919255	0	0	0	0	14840.0864326	93.1000777565	92.1910887116	0	0	0	0
EPS | Damage Approach | EPS (Steen, 1999))	24252.6824273	4802.34933245	3400.49761668	0	0	0	0	74387.6011978	9823.27000079	8253.75531783	0	0	0	0	28406.8274134	27.2236639487	19.2758878613	0	0	0	0	16229.8894253	767.565534518	212.515073744	0	0	0	0	275595.11222	13.8713667494	3821.89857942	0	0	0	0	79264.0783857	437.000203985	663.895464002	0	0	0	0
Carcinogenic effects on humans (H.A) | ECOINDICATOR 99 (H.A) | Carcinogenic effects on humans (H.A)	0.00253793763494	0.000273743848569	0.000234093153705	0	0	0	0	0.01177404075	0.000425807696416	0.000311918625794	0	0	0	0	0.000932713770743	8.80168403472e-08	1.33948045704e-07	0	0	0	0	0.000218408950058	2.07648402735e-05	5.26626824747e-06	0	0	0	0	0.0199812874595	2.78371111293e-07	0.000160099972765	0	0	0	0	0.0130287292528	3.45431373554e-05	3.66074710019e-05	0	0	0	0
Respiratory effects on humans caused by organic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by organic substances (H.A)	0.000657197997191	1.11918231743e-05	6.08263561478e-06	0	0	0	0	0.00269605402834	0.000142166293523	0.000157599169708	0	0	0	0	0.00119070266053	2.32007954063e-08	1.19497894642e-07	0	0	0	0	0.000526751953794	3.68166091222e-05	9.24161073746e-06	0	0	0	0	0.0155613024639	3.01647491206e-07	0.000206735691136	0	0	0	0	0.00442396372512	1.8078155638e-06	1.39491649636e-05	0	0	0	0
Respiratory effects on humans caused by inorganic substances (H.A) | ECOINDICATOR 99 (H.A) | Respiratory effects on humans caused by inorganic substances (H.A)	1320.66341019	145.583794075	131.600565776	0	0	0	0	4396.47353468	259.155154162	182.105906232	0	0	0	0	921.657673166	0.04957848009	0.0664727858952	0	0	0	0	449.427996407	9.32960550512	2.37359722671	0	0	0	0	8384.91016436	0.121741828943	73.1928390617	0	0	0	0	4993.98125739	24.0824497993	23.3388288544	0	0	0	0
