region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Taxes less subsidies on products purchased: Total	15119.6646749	2166.61990166	221547.426789	11002.2481186	2995.59692118	128742.538311	48567.553891	217316.460545	24793.6329874	1883.88549933	320776.67302	6922.19210022	1818.46113267	247417.408389	37190.4431272	206091.730657	9278.07550007	6468.64439574	270771.987252	4838.40500131	1796.04230949	123358.100934	36161.5636937	214225.441642	572.14002765	272.723155598	12581.3553957	47.8196252539	13.3062091193	10798.7029264	3220.20523131	12045.7956419	9667.9895616	1506.15517834	62812.3785162	3330.84864831	563.26398215	49163.6329231	14065.7923638	58654.6838781	13467.1748101	3391.20133891	177624.829199	7007.13775785	1450.21100875	91530.4923833	13386.9672961	129753.483167
Other net taxes on production	-103.066949699	1301.1627782	64389.1833457	4572.2834661	1824.13911265	73661.8785984	21050.5717384	138301.988907	285.450022436	1785.03529079	111988.256344	973.176510422	439.005929182	119255.49354	19772.0636878	135995.155933	5735.39952464	8331.62936967	114812.516541	10802.8740758	1639.209862	144238.496586	39858.4941955	359630.800243	220.443698605	262.412943666	4301.18775736	54.8787480503	10.9059373884	6801.74323395	1743.63943511	15521.1980974	1645.35022865	1001.08752074	10812.2012889	995.740907308	249.911424837	17178.8960463	3351.14749134	17385.5642926	2537.03465286	2651.44549216	39122.6255366	2326.04580025	781.651449892	27721.371472	3451.28834429	41373.1061739
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	12460.9332353	1411.68298866	99342.8363514	3062.22823999	1179.51498477	96162.0714631	31057.6809658	241656.036349	29546.6974218	1058.62531717	125512.175071	1497.96378136	1000.93600564	244252.980161	28884.9788742	168893.439822	2800.90497751	2306.80856604	101808.05411	1598.27350968	572.42802341	91168.2469204	27089.2340759	182347.848933	418.006565588	224.60584402	4999.65535982	27.8342919409	9.74002437028	8216.69132819	2318.49897005	10589.4915572	21732.9213049	322.870653702	19681.4698581	625.627304865	311.472040229	15508.0752932	3048.10238001	27004.1976916	6663.61640167	991.628216496	48354.4898047	1114.39406468	376.881977627	53729.1922343	6741.42882489	49193.5281361
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	56820.9593861	10305.1018473	839817.175259	26126.5426789	10431.6598937	827864.346158	263658.973839	1160104.62795	224592.078702	4841.20131601	833662.167457	8589.62133093	5899.60805344	1061044.93864	162328.442068	940378.337702	48120.3113674	24287.9389289	968438.351575	26097.1552456	8029.98973956	1009099.01667	320228.092934	1904035.57394	2357.6392603	2299.64261755	39300.0847974	295.556317366	94.0428687586	62573.2540068	15760.5556749	70217.2192649	17401.8963291	1721.77653356	81421.7733362	2055.50620652	681.928003479	59626.6737017	14735.6888973	66446.6268781	54508.1210524	4943.99506275	351170.538403	6667.05133958	2288.4459893	265638.801031	47832.0932163	281132.546023
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	28140.1064475	8066.50085644	657142.773779	29032.7051417	11934.9422708	564902.432804	182024.70206	2233077.45435	21598.0922857	2112.14811481	339289.766598	6073.68430599	3983.80656497	360287.155243	69589.2222109	1236065.4881	23963.375924	14767.1262422	613432.640811	16894.7246065	5184.47710613	388931.471845	107083.06136	2574247.23209	1136.26145068	2156.23035894	26054.8766371	354.611252056	88.4447844198	44745.780577	11726.0487647	150884.744104	12147.2435561	1038.68657488	55501.3433549	2080.8385019	614.16937036	44502.1743717	15035.4873815	126607.669232	5296.62886167	1928.42196395	164380.490278	3407.35906637	1202.44734848	100971.048762	14136.9569126	336772.88187
Operating surplus: Consumption of fixed capital	40548.6392509	11504.4690243	448987.3511	53333.9541066	8503.91655605	393701.245041	161102.135766	1085262.25498	57448.0671698	3726.95147051	434502.574395	17362.718501	4983.98435658	404036.461787	90221.9316906	941698.169297	27623.4378782	24087.9653066	672877.661991	65400.2367916	12287.1523995	422439.828898	186152.490229	1701509.723	1945.74998158	4541.19397638	24144.0861651	1034.62529154	204.023663038	45580.6282881	15338.5891642	78602.8524862	6410.56739129	1657.6370087	44991.0389431	4522.80212909	553.213113361	31537.2438622	12771.0764231	73243.0472288	10078.6908338	3427.41985429	161680.478072	6344.68960823	1257.74860007	56053.5457423	10510.6451797	139297.488601
Operating surplus: Rents on land	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Operating surplus: Royalties on resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
