stressor	Europe	Asia	America	Oceania	Africa	Other
Taxes less subsidies on products purchased: Total	647458.109152	846894.426913	666898.260729	39552.0482129	199764.745052	437611.496961
Other net taxes on production	304998.140997	390493.637257	685049.420398	28916.4098515	52619.8992008	119964.568922
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	486332.984578	600647.796455	409691.799115	26804.5239412	88234.7365265	167165.15966
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	3195129.38701	3241336.39527	4308336.4304	192897.994808	244091.869886	1014181.59212
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	3714321.61771	2038999.36342	3744504.10999	237146.997929	257527.612343	628096.235063
Operating surplus: Consumption of fixed capital	2202943.96582	1953980.85867	3112378.49649	171391.749016	175686.6261	388650.706492
Operating surplus: Rents on land	0	0	0	0	0	0
Operating surplus: Royalties on resources	0	0	0	0	0	0
Operating surplus: Remaining net operating surplus	3259649.57551	2317019.18502	3269851.42546	187210.38591	261596.351746	638245.243767
Employment: Low-skilled male	53710.2279579	131324.864007	46514.3274544	2369.9505009	84897.5766245	52849.2551812
Employment: Low-skilled female	36271.1658858	49568.2542155	27107.6762475	1078.13905208	55415.7222777	18453.2436347
Employment: Medium-skilled male	195746.289928	543717.43106	207414.5534	10321.0409173	81420.0959135	206221.410419
Employment: Medium-skilled female	107642.625742	269544.52329	112897.066211	5488.14200238	33014.9793473	93270.3071621
Employment: High-skilled male	78179.2433356	81262.5964644	63985.8806922	2967.20550756	25891.8102362	34300.0014377
Employment: High-skilled female	72673.2378588	42546.4284671	53787.6808422	2458.04248554	14683.7417266	17304.1916939
Employment hours: Low-skilled male	115049.247311	303487.537473	103000.932867	5097.53647338	195794.255631	116894.145278
Employment hours: Low-skilled female	72744.6626455	110943.395791	57642.3392968	2221.1321384	125966.438568	39759.0469827
Employment hours: Medium-skilled male	397995.777036	1208995.07723	444361.855786	21454.3346969	179835.427441	438510.940151
Employment hours: Medium-skilled female	208099.531684	589011.856462	231524.495177	10747.365623	71876.26159	193999.745118
Employment hours: High-skilled male	148279.157425	187102.557131	132212.677399	5685.6499623	56484.2893256	80141.2700018
Employment hours: High-skilled female	132357.271843	92388.8022012	102654.997374	4332.55903843	31401.8606335	39871.8367089
Employment: Vulnerable employment	140478.118065	812532.980195	139471.577098	9030.46948193	70370.1905189	232759.735569
Employment hours: Vulnerable employment	553115.182554	3607431.66965	600750.583076	37186.1240935	302516.989203	955357.981106
CO2 - combustion - air	4.79132820194e+12	6.2201349375e+12	5.85463416891e+12	264680937854	694590876756	2.72255433245e+12
CH4 - combustion - air	1144696652.78	7361867958.45	1298179243.57	40236578.8548	3337985467.78	1463745416.95
N2O - combustion - air	100774612.164	153211284.333	277501528.056	9751208.57032	59534357.0199	73750972.8311
SOx - combustion - air	8249648428.51	17439376579.1	6530204635.14	358835053.144	1370424120.27	5386634062.86
NOx - combustion - air	16667758491.9	18954675696.7	16571770277.3	789097292.692	2315621234.33	7483966456.66
NH3 - combustion - air	2413251591	3441480577.46	2023629830.96	288435974.65	601720985.155	12879855294.6
CO - combustion - air	26400411192.2	95779337668.1	46890982864.5	1440622067.77	31740449504.1	20687150548.1
Benzo(a)pyrene - combustion - air	2095370.51373	5627867.62109	2924403.6834	167132.514892	1524421.13133	1612361.37828
Benzo(b)fluoranthene - combustion - air	3130811.45589	7796811.01329	4433330.78352	264347.001732	1772027.33987	2323975.74796
Benzo(k)fluoranthene - combustion - air	310464.322814	1883220.66421	251655.633102	9214.07480493	780239.751536	382073.095636
Indeno(1,2,3-cd)pyrene - combustion - air	301586.78061	1877515.22316	258922.207423	8811.68978893	829466.33361	391668.278759
PCBs - combustion - air	1213.52739741	3996.04401261	625.908978976	48.9450348208	477.562957456	805.335904586
PCDD_F - combustion - air	1.76366672405	10.4581517861	1.44308549167	0.0641036515461	4.20649009708	2.08554114208
HCB - combustion - air	10.6836503389	57.0410704777	11.2305284202	0.461076669765	30.2083467531	13.1030565543
NMVOC - combustion - air	4474724131.99	13621467561.5	9394363833.72	290479297.944	8418675312.73	5359716717.92
PM10 - combustion - air	2252184589.49	9188779033.17	1948280498.01	85068730.5007	4088132789.32	2092934840.77
PM2.5 - combustion - air	1874046742.64	7983929228.28	1667655322.22	66924272.5249	3909623090.18	1805190786.88
TSP - combustion - air	3584609497.21	16279899394.9	2689977174.07	142697994.936	5674528280.36	3621796525.01
As - combustion - air	28822062.828	22519530.3537	9566397.60702	443307.08977	772684.32526	6155016.05281
Cd - combustion - air	1781676.98705	1411034.76847	602527.393422	27755.7387129	58360.1828839	389331.814387
Cr - combustion - air	276302.445545	483489.088125	234152.855692	10072.7535504	59101.9787873	158247.702316
Cu - combustion - air	30324124.7718	24162001.8617	12549547.6998	555609.070743	1113354.33314	7056247.32062
Hg - combustion - air	1205703.43455	1002349.41162	408192.452514	19610.1341437	38671.4167122	271836.77694
Ni - combustion - air	3046471.05093	5027105.11238	1856946.43324	65009.7229375	491039.639395	1927238.45277
Pb - combustion - air	701149.852141	2253558.46496	609093.06329	33740.1270462	353410.129107	568814.506205
Se - combustion - air	481295.753869	347127.327649	172838.266112	13163.3018668	19964.3439159	106478.833905
Zn - combustion - air	2477786.37831	4748181.49178	2440767.89076	105093.88463	1049512.70873	1460708.68573
