region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Taxes less subsidies on products purchased: Total	2280.78657519	1204.04083459	41857.2073086	1518.67766307	329.992925049	9813.85618352	9004.97131634	11285.5237906	4288.54041966	3771.73117384	132586.037961	3924.18071092	198.124916069	11023.3191634	6227.25159976	5674.35494325	3984.90646505	3842.6235896	28713.6866387	338.234763939	64.5154182722	7875.53544637	3603.93261247	4504.91562513	359.378639582	194.509119243	1440.83884861	5.84843896597	0	955.70900078	454.531652409	584.48936743	5059.99182388	11063.8980831	19724.0170414	642.357154646	10.8540988736	6812.54939026	4885.27136522	3452.63854032	12039.0518629	35131.7594603	142385.819058	4533.15380363	335.111096018	18748.6620402	11582.0147099	12535.3481882
Other net taxes on production	-1140.64800327	871.187121476	8286.75244747	565.966717669	256.943551659	6937.14738644	3823.31079243	8525.2615525	-2145.85929344	6452.09903786	41416.6343004	175.612101772	-8.05722205345	6224.71677365	3872.89068482	5751.25494481	1799.97966382	5847.95234685	5393.53596719	1031.90518922	45.3530292895	11087.7796648	4514.26835695	11112.3287871	136.98675874	422.067731433	881.741970491	11.1398341055	0	581.497834537	229.286141253	1080.650737	761.197789592	8959.98718245	1155.86070484	184.249124088	7.33431175935	2755.57048955	1084.27638137	1076.69746758	1966.46306145	31333.5304578	7537.04979002	1364.88199921	215.657388451	6152.0622593	2809.16026412	4244.92184104
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	1862.7383255	1024.9969827	16959.7670876	180.42403201	72.0048364752	8454.46011365	5850.18166926	16127.9533916	9269.71454192	3007.75468877	37330.2842145	335.307288823	108.085275728	16061.5540787	5630.79351051	6653.38357704	207.009714776	1018.9037762	8902.73541281	62.7884687151	9.27970025157	6679.30955122	2986.14380144	4966.68599382	371.916428114	298.016688627	1270.601142	3.15555875045	0	833.418661329	381.828729638	626.064959378	14425.3513091	1761.34228632	3366.37301472	44.4652725296	3.31922486022	1595.36982341	595.855823534	1769.49904554	5262.85247089	8206.13270954	14782.9063698	438.331046562	68.7083144148	14486.5793066	6494.13556707	4407.2205028
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	7676.75802156	7568.53712683	187323.498233	1968.63186658	893.261483925	80208.0902801	53846.3451124	65183.869392	75490.6756234	8434.20813987	268303.909369	2095.46876269	683.839923599	59745.5079757	31179.086144	36552.4303675	18471.3736201	11248.5139541	86972.1110309	1724.3465993	281.88953646	77302.3007977	37475.9569699	52468.4107531	1429.00173267	4585.88049331	12249.554305	47.341657756	0	6588.05788746	2414.08286798	3980.81884772	9447.46224901	12089.2510859	12213.627854	222.625406035	10.7620425593	6882.58733297	3988.33665008	3536.89310316	54272.3421804	37628.6654456	121723.902358	2754.79078923	427.992422219	62048.3081991	48926.0539283	24327.9089653
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	2144.84992586	5227.74588066	146015.367747	2538.98502221	1301.51927563	46854.1127822	33537.7302932	158800.307406	652.607591971	1416.69360851	80277.7640182	1978.53978307	500.691514157	16234.8690351	11495.4350457	68491.213403	4159.83177668	5445.02108865	58843.2164743	1149.97296009	181.565240115	22813.910707	8255.19252519	90311.2691478	436.316596133	3707.42231991	8839.64588565	66.2681199799	0	3206.86014111	1322.86672931	11089.9370789	6783.17412587	6163.76212771	10400.9944313	302.507946682	13.0621480332	5041.34159453	4899.19766929	9839.20369501	525.673192099	10368.5628458	37468.3253263	1604.44419603	255.286889057	19942.9076266	10206.8496489	42475.779733
Operating surplus: Consumption of fixed capital	9068.17283668	11284.7300233	77067.923086	8853.58718859	670.00012053	33314.5193483	33064.6793104	70609.9761167	14609.1092259	7358.77586745	132483.26463	10404.7604227	729.15263391	17449.792355	17455.555862	48046.0110248	8812.94544628	14099.1669244	71262.5864219	6731.56647687	744.30922229	26904.4781595	20735.3548396	53033.0805257	1912.1172355	13144.787613	6383.33713405	263.457135367	12.0155223585	4547.72842982	2814.80327389	5068.4067217	2929.16953611	12755.2628942	7377.92647698	997.509465436	12.6567859659	3311.44347819	4471.18605066	5237.82332727	7014.16928119	28379.5866117	26626.9470579	4235.60779566	294.922695079	7123.07473606	7961.67525658	14813.7387626
Operating surplus: Rents on land	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Operating surplus: Royalties on resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
