stressor	Europe	Asia	America	Oceania	Africa	Other
Taxes less subsidies on products purchased: Total	77295.0565969	167693.540888	52928.3505595	3995.30506702	51651.5774976	237290.920219
Other net taxes on production	28125.9215664	61739.2913278	40833.1030053	3343.37100756	15985.1734512	55623.7270614
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	50532.5264387	78396.877176	24832.8564192	3785.00216783	23561.5758001	54146.8662877
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	404668.991516	482485.126305	285944.903262	31294.7377919	48391.5457237	352109.964288
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	396420.618333	181047.814	191159.97992	28669.316871	43443.2437384	122847.829458
Operating surplus: Consumption of fixed capital	243933.58803	248536.422022	202323.488016	34146.6530657	37092.9780148	96449.7221968
Operating surplus: Rents on land	0	0	0	0	0	0
Operating surplus: Royalties on resources	0	0	0	0	0	0
Operating surplus: Remaining net operating surplus	390090.645667	354552.872181	238615.467326	46807.9016931	72284.7292608	255864.074442
Employment: Low-skilled male	3923.40623802	18776.2448395	2156.44299416	90.9468466083	29914.3948534	27300.3044796
Employment: Low-skilled female	2832.60369247	7307.16587909	1048.38217525	46.9620158158	17179.7964437	9363.0496229
Employment: Medium-skilled male	20045.1471087	94318.7576056	16621.384441	576.385209204	22981.3230143	115773.945851
Employment: Medium-skilled female	9854.36819414	44765.4196572	6513.95003871	323.427365018	6809.75991089	52455.5697984
Employment: High-skilled male	8391.50031114	7677.3441768	3440.49328653	298.901554796	6089.11024166	10654.0607528
Employment: High-skilled female	6641.01403955	2814.66006497	2208.69476218	225.85658009	2477.45037874	3072.46283288
Employment hours: Low-skilled male	8002.39536596	42938.6696342	4796.61168665	173.750947058	69712.5015103	59162.1772875
Employment hours: Low-skilled female	5504.33967001	16181.1778759	2256.41946618	86.0654633154	39892.6713408	19743.2741224
Employment hours: Medium-skilled male	39714.8580356	210741.219097	35664.3816431	1100.59773141	51775.4816622	241518.951943
Employment hours: Medium-skilled female	18809.4620989	97679.4877246	13719.8313308	568.182212059	15293.4260774	107215.379944
Employment hours: High-skilled male	15856.5454719	18018.7588551	7099.79836946	552.293406765	13585.1855465	25063.2367535
Employment hours: High-skilled female	12237.9349025	6243.34974978	4256.53345291	398.366958425	5456.25062555	7241.77083881
Employment: Vulnerable employment	9082.34880515	141327.89219	8248.40460837	207.096026104	12544.2524228	112051.279089
