region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Taxes less subsidies on products purchased: Total	5910.46354701	584.06579404	83418.9744193	856.378015743	341.1063248	22925.315006	9266.35354137	28404.0296763	5662.48260304	576.780765784	74930.5910927	360.190686802	268.117900307	28032.1835667	4904.8822737	28920.5903726	1276.78229961	962.758017893	96629.2050015	407.85555489	242.620758006	14816.6785822	5111.99997434	29529.6534023	275.164394772	110.407319761	10440.0907813	15.3717869264	6.60734678569	3138.08309665	1071.90216883	2783.41195253	647.69621874	88.8499994084	21087.9712305	153.055535729	49.5104880305	5244.83627118	1152.08862837	4301.13264038	1600.55897119	443.354661751	72386.4590585	226.086987519	76.6106350596	10574.3181596	1256.21172652	9384.91159086
Other net taxes on production	1495.86331655	365.849759191	26888.9168118	333.832447664	141.317190114	10178.7768179	3913.94330009	12543.3368124	1587.95693488	422.214903105	25175.0369995	122.037423622	107.34370558	10887.8162202	1823.53362744	11556.0812363	299.411278501	531.94973575	28230.9153804	157.510382258	103.79030565	5531.82775008	1782.1271727	10827.4191487	62.7628888308	37.4084894617	2712.63840301	4.50727912095	2.0111637455	1159.56993949	362.247023608	920.420168744	145.569590577	36.8586359105	5211.63351325	45.4480814291	14.8758593564	1766.99982616	376.64765787	1586.43220157	418.890529836	372.992226623	26320.8516963	88.2162541569	33.0214792143	4388.52751303	509.661303963	4063.58703397
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	5500.85041756	180.786378268	27194.8233857	309.319243887	123.401724691	11334.5170882	4438.76705764	12119.0119008	2690.03585057	179.683894366	21978.1432339	111.520806479	75.9254138321	10240.9397506	2054.49169353	11385.9528351	894.012384	311.874611975	34243.0548263	158.718242743	83.3671758257	7880.55494681	2620.99246484	15301.6314795	119.539660556	40.2434417975	3038.17953116	5.01267641871	2.33248541808	1357.06704074	454.592643265	1059.02694716	292.19341556	34.5419289257	6515.00048835	63.8140293443	22.1889061161	2422.1247954	517.479688474	2096.23343462	1676.97923953	263.995164103	32110.1983858	109.557210088	42.3869548049	5621.17964361	633.702215158	5345.75755603
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	19400.8667219	1069.36839853	178104.765433	1970.81245826	779.107710898	71687.3228128	32724.3845757	81542.4667779	18750.611178	1315.27434875	171926.208476	846.280336662	541.982010205	77705.9406266	16217.7690008	80120.9850681	4431.04049548	1839.08848328	231745.662588	1000.76681979	523.543585227	49713.6460904	18518.3111548	88659.2465437	922.193545551	275.602975261	22384.7004401	35.6681207255	15.969819609	9345.97586898	3413.05391615	7149.64075809	2303.03870826	258.195135553	50456.7686849	458.231184535	158.636586834	16957.4582389	3922.98834615	13665.9486709	7380.20729141	1385.00054648	233003.45182	769.697702832	254.564334994	39461.0743383	4661.05382171	35120.6963354
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	5820.80719235	515.379525274	83392.3344204	1052.69590023	404.103842337	32420.1936252	13439.7298298	64422.369567	5941.03164194	806.022006518	107391.906658	558.776298568	328.206479882	47844.6167076	9643.56817893	71448.0675376	1609.28524837	1109.3691421	122785.191069	633.283919737	305.75771078	29486.0734009	11686.236285	88515.1131474	213.994552105	172.400138504	11382.8458786	19.5995425497	9.82965672163	4995.15577971	1852.8777027	5126.77582939	972.123922333	158.325763132	28249.5121265	264.021040812	87.34211953	9497.80572245	2235.18397704	12176.4166273	2827.69576473	742.583463062	127388.177047	445.413478769	145.311875613	22448.3673435	2775.96417581	27840.9594561
Operating surplus: Consumption of fixed capital	6249.29664664	700.932509234	95328.2396799	1070.9127699	426.948399184	31287.4301542	15305.5665177	49873.6539924	6526.7565036	1164.96071682	96288.0550126	530.375191777	321.798431112	40474.4437869	8532.89035863	49898.1682385	1572.94633668	1207.79968863	115408.191806	554.758346323	300.691571089	22869.5574867	9911.68520138	56809.9087885	273.021812243	147.259789883	11018.2225765	18.0823283079	8.33577662727	4212.88502385	1752.5363569	4007.91464788	1096.61150128	159.327696677	24762.7875075	218.950388866	78.0336514756	7531.77906374	1915.58465023	8051.90923826	3428.98279647	1162.09605254	132838.219578	440.548854505	153.105690297	21342.8886262	2749.58415603	22498.2154486
Operating surplus: Rents on land	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Operating surplus: Royalties on resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
