stressor	Europe	Asia	America	Oceania	Africa	Other
Taxes less subsidies on products purchased: Total	151706.686325	143655.819262	148977.553591	17841.0388476	32725.1410123	95948.511791
Other net taxes on production	55861.8364558	51682.0210506	47464.9511541	5261.56535602	9184.46536612	36195.748037
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	61201.4771968	48716.6934784	61494.206132	6075.99442651	11963.5766868	45803.7563691
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	387279.094889	367425.051045	396431.305761	43542.8054445	88181.265556	322035.746191
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	201467.613903	243962.195509	256130.309923	23773.4790803	53640.731299	184614.472605
Operating surplus: Consumption of fixed capital	200242.980669	203737.44824	208635.539225	21438.2583122	43814.9836981	184613.641202
Operating surplus: Rents on land	0	0	0	0	0	0
Operating surplus: Royalties on resources	0	0	0	0	0	0
Operating surplus: Remaining net operating surplus	290848.459346	354996.483826	336724.072967	33941.9138882	69657.6787703	272047.081772
Employment: Low-skilled male	28249.5833604	18151.9267525	18482.8979346	1922.03748793	3039.7081718	12315.5865441
Employment: Low-skilled female	13251.1128982	8186.66346645	8445.33734981	803.051205472	1212.74729773	5879.04761152
Employment: Medium-skilled male	73680.0910858	62459.6092052	66443.1978448	7882.7312022	14296.3315954	45554.982296
Employment: Medium-skilled female	31887.9744009	27844.0391936	30154.0832638	3534.00770345	6508.94563554	20793.4447671
Employment: High-skilled male	9670.90743389	8836.3698435	9494.15058285	962.975498454	1856.76047458	5730.24649044
Employment: High-skilled female	4104.75968836	4342.37585593	4914.52594763	408.677648575	876.617354528	2793.18216339
Employment hours: Low-skilled male	64311.2870837	39845.7525831	41576.6152841	4281.95702023	6704.43582528	28066.0586353
Employment hours: Low-skilled female	29955.2604254	17702.9561228	18544.8243336	1750.04022612	2585.37971205	13125.4871187
Employment hours: Medium-skilled male	159386.021429	129113.271806	144142.136922	16984.0394001	30694.5871975	100195.433357
Employment hours: Medium-skilled female	67408.6411478	56247.8305654	63818.1118469	7453.40859984	13678.3564313	44679.4207961
Employment hours: High-skilled male	21977.6951842	19030.4044143	20610.9294144	2125.34954963	4030.14980007	12401.2900406
Employment hours: High-skilled female	8923.95684013	8742.06771424	9922.42415376	842.868734229	1766.69326976	5636.1958159
Employment: Vulnerable employment	77339.1826996	53571.5679991	72998.5039645	7952.84615961	14324.4858989	57274.6864203
Employment hours: Vulnerable employment	326776.253071	213166.67895	311794.48781	33247.7836881	59460.3826321	249872.366423
CO2 - combustion - air	784283303758	710174222005	873618239391	96068027741.5	178530231413	730977761893
CH4 - combustion - air	165995274.754	129153876.697	180235948.882	19141345.4827	34351737.5573	154971291.501
N2O - combustion - air	16554596.6984	14657460.052	13801140.0488	1764055.73953	3268454.16031	13273584.6623
SOx - combustion - air	1889713560.57	1269639205.36	2285999850.27	232604155.484	412817639.047	1971915849.04
NOx - combustion - air	2491151850.17	2240680626.19	2572266088.02	286685408.115	527600083.183	2042654594.45
NH3 - combustion - air	2262933411.08	3180804598.69	1575387405.19	274677014.155	496541890.546	12893977.3404
CO - combustion - air	2421041326.55	2200185608.37	1848621097.83	233868007.278	454874039.989	1886936462.96
Benzo(a)pyrene - combustion - air	493032.040793	552633.284488	349245.972922	45870.6495887	107889.205464	418487.360955
Benzo(b)fluoranthene - combustion - air	781227.329347	882369.399838	549180.394328	72490.6929903	170250.763923	655579.430754
Benzo(k)fluoranthene - combustion - air	29569.7222554	12777.1875836	34951.7583847	3335.35936096	5984.57518269	31183.7391829
Indeno(1,2,3-cd)pyrene - combustion - air	24411.4903592	10451.085032	28472.8684382	2700.39014715	4847.03048476	25243.7489162
PCBs - combustion - air	297.28032961	126.85436269	422.48312936	40.0456400197	67.1771687126	427.576003712
PCDD_F - combustion - air	0.241467387066	0.109796246508	0.295888571534	0.0285976244327	0.0510588552106	0.273658059679
HCB - combustion - air	1.37523462807	0.757999523462	1.7578759273	0.172767774864	0.304714559432	1.771199898
NMVOC - combustion - air	413481067.688	359334626.48	336060898.997	41731659.862	75989597.3451	317620470.254
PM10 - combustion - air	251045431.777	175805063.763	293230528.008	29879531.7385	54486409.0776	250627915.729
PM2.5 - combustion - air	161012794.222	126884419.198	175822495.954	18475409.2694	33988122.2712	141395327.555
TSP - combustion - air	793155999.076	259050414.165	1042151146.45	92794743.6101	162538080.808	1052970563.72
As - combustion - air	2338490.23701	2111647.95216	3026435.98122	300903.383199	496261.177761	1501193.22961
Cd - combustion - air	144236.207437	130113.427716	186472.624583	18561.407698	30734.5660733	94231.3180356
Cr - combustion - air	32813.9843491	26605.3843666	41126.2362945	4188.13810515	7820.02557223	35450.9547009
Cu - combustion - air	2530611.97521	2288112.58913	3184674.53042	320840.257414	533749.709396	1644559.35839
Hg - combustion - air	102809.736328	90146.8215636	133746.653092	13257.533024	22086.1967993	71600.2630443
Ni - combustion - air	352932.779118	337365.04329	406092.964713	44804.0128201	79900.5687443	240305.279952
Pb - combustion - air	156393.18962	85304.1941881	194963.10036	19302.5541717	34837.8847058	178264.032051
Se - combustion - air	35722.8000367	44507.1781878	68842.8995503	6157.39546023	12062.3027886	59530.6700321
Zn - combustion - air	358234.434078	246945.424994	405715.138146	43137.9139955	78662.3711937	364048.573351
As - non combustion - Agglomeration plant - pellets - air	3419.03980348	4470.1964653	5365.33757115	572.181522737	1287.43961143	5081.0420111
As - non combustion - Agglomeration plant - sinter - air	20429.7100384	10116.8898983	26871.5929793	2545.59561152	4726.03404931	27121.7998107
As - non combustion - Glass production - air	21.8005416588	2.14109889988	29.206146199	2.24177604052	3.77536729615	32.3669615531
As - non combustion - Production of coke oven coke - air	70174.9184407	11027.1892658	99334.9828304	7996.06364617	14237.3749676	112083.210475
As - non combustion - Production of gascoke - air	424.683864307	0	593.348841671	45.9840327303	77.3148530075	681.848274872
As - non combustion - Steel production: basic oxygen furnace - air	1771089.4916	2069065.31519	1640235.80489	246727.419285	462870.39632	1026353.10126
As - non combustion - Steel production: electric arc furnace - air	33334.432995	21607.2522818	36392.130074	4121.41104583	7335.37403845	33331.7508404
As - non combustion - Steel production: open hearth furnace - air	119036.696511	554385.999	659042.62042	53862.599136	161834.202091	571886.754739
B(a)P - non combustion - Primary aluminium production - air	51250.9812703	83666.1862585	85740.5669771	9236.26414745	21649.244999	71888.3773596
B(a)P - non combustion - Production of coke oven coke - air	526311.888305	82703.9194938	745012.371228	59970.4773463	106780.312257	840624.078564
B(a)P - non combustion - Production of gascoke - air	3185.12898231	0	4450.11631254	344.880245477	579.861397557	5113.86206155
B(b)F - non combustion - Primary aluminium production - air	68334.6416938	111554.915011	114320.75597	12315.0188633	28865.6599987	95851.1698128
B(b)F - non combustion - Production of coke oven coke - air	175437.296101	27567.9731646	248337.457076	19990.1591154	35593.4374191	280208.026188
B(b)F - non combustion - Production of gascoke - air	1061.70966077	0	1483.37210418	114.960081826	193.287132519	1704.62068719
B(k)F - non combustion - Primary aluminium production - air	68334.6416938	111554.915011	114320.75597	12315.0188633	28865.6599987	95851.1698128
B(k)F - non combustion - Production of coke oven coke - air	175437.296101	27567.9731646	248337.457076	19990.1591154	35593.4374191	280208.026188
B(k)F - non combustion - Production of gascoke - air	1061.70966077	0	1483.37210418	114.960081826	193.287132519	1704.62068719
CH4 - non combustion - Extraction/production of (natural) gas - air	1245101136.18	2278333316.52	1263201334.59	151641255.088	255682147.259	528864562.81
CH4 - non combustion - Extraction/production of crude oil - air	4994968413.16	8788363858.29	4620621243.64	489105681.385	677859922.084	1528471688.42
CH4 - non combustion - Mining of antracite - air	68134136.8075	155858153.076	72534850.6315	8771313.59439	13424942.6467	10963383.3378
CH4 - non combustion - Mining of bituminous coal - air	1788246145.59	1491032998.47	2094961756.64	182813912.172	239789660.835	2013016697.46
CH4 - non combustion - Mining of coking coal - air	313792609.478	651437937.59	419244225.754	31503064.0184	60175413.4853	449905417.435
CH4 - non combustion - Mining of lignite (brown coal) - air	7359118.40111	30866111.3846	23354124.3043	1665233.79796	4123838.07987	18367121.1946
CH4 - non combustion - Mining of sub-bituminous coal - air	187645690.601	327567959.135	119874081.188	16165808.8117	28591931.2051	189206474.786
CH4 - non combustion - Oil refinery - air	18296660.3901	34283052.8622	27800970.5673	3099273.87653	6688835.8895	15935888.2989
CO - non combustion - Agglomeration plant - sinter - air	4949733977.32	2836421382.71	6480096094.05	630820974.014	1188303690.24	6392417109.97
CO - non combustion - Bricks production - air	829081318.483	771183189.884	838352247.603	95388245.4695	125950535.824	760591481.813
CO - non combustion - Carbon black production - air	14535312.3017	10213341.4462	14882719.6042	1710283.62605	3168820.62265	16848184.5495
CO - non combustion - Cement production - air	37939141.0615	21755255.4355	43732706.7783	4547295.94941	8124796.88316	42691407.9972
CO - non combustion - Chemical wood pulp, dissolving grades - air	369234.590257	347594.592992	327015.263013	36842.892973	73261.3571548	349590.494751
CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	8690762.61167	7245020.62138	7199857.95402	992560.74143	1919709.29107	10448440.2226
CO - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	146443.035208	450992.969437	378767.452263	40202.0088164	111511.632825	350526.651161
CO - non combustion - Glass production - air	9058.76706414	600.351616845	12936.7745895	999.692274795	1732.40907655	14584.3088069
CO - non combustion - Lime production - air	13524151.5493	8475154.21008	17233209.4933	1713925.0136	3244854.41727	17318165.9365
CO - non combustion - Oil refinery - air	28929098.7052	40501108.0945	27197819.7229	3828725.5977	6812016.251	11565780.6901
CO - non combustion - Pig iron production, blast furnace - air	1852911418.13	1079100493.11	2524856404.32	240777059.763	463497315.073	2551267021.82
CO - non combustion - Primary aluminium production - air	698524247.342	752058574.56	1276138666.92	113880939.066	261750584.617	1262378851.95
CO - non combustion - Production of coke oven coke - air	77061112.4267	23666324.9481	104399833.612	8923013.51034	16247694.835	116054434.474
CO - non combustion - Production of gascoke - air	254400.951036	0	355437.355416	27546.0940296	46314.3853284	408451.707655
CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	15329259.378	2528985.34172	20843541.7455	1709148.33628	3018547.60905	23659523.5447
CO - non combustion - Steel production: basic oxygen furnace - air	559309032.398	305572319.727	769095633.861	72056769.2818	138464181.072	790262531.935
CO - non combustion - Steel production: electric arc furnace - air	198312114.434	165817090.705	254563349.582	27148876.3963	54655341.5391	262600442.563
CO2 - non combustion - Cement production - air	84782066464	45923238850.5	104917760293	10506216428.3	18831615042.9	97677506235.6
CO2 - non combustion - Lime production - air	15327371776.3	9605174784.23	19530970785.1	1942448351.34	3677501677.81	19627254754.2
Cd - non combustion - Agglomeration plant - pellets - air	18.9946655749	24.8344248072	29.8074309508	3.17878623743	7.1524422857	28.2280111728
Cd - non combustion - Agglomeration plant - sinter - air	4539.9355641	2248.19775518	5971.46510652	565.687913673	1050.22978874	6027.06662461
Cd - non combustion - Glass production - air	14.9161600823	1.46496240518	19.9831526625	1.53384676456	2.58314604473	22.1458157994
Cd - non combustion - Nickel, unwrought - air	154.495629538	208.98298696	176.860245827	19.3723379671	44.2343429969	171.260688928
Cd - non combustion - Production of coke oven coke - air	21052.4755322	3308.15677975	29800.4948491	2398.81909385	4271.21249029	33624.9631426
Cd - non combustion - Production of gascoke - air	127.405159292	0	178.004652502	13.7952098191	23.1944559023	204.554482462
Cd - non combustion - Refined copper; unwrought, not alloyed - air	1216.67035944	1033.18953556	1357.42144127	142.942380368	286.666452364	1465.58809327
Cd - non combustion - Refined lead, unwrought - air	958.92900075	567.989406737	1174.67541578	111.746227886	215.002169455	1319.1665162
Cd - non combustion - Steel production: basic oxygen furnace - air	296657.489843	346568.440294	274739.49732	41326.8427302	77530.7913836	171914.144461
Cd - non combustion - Steel production: electric arc furnace - air	444459.106601	288096.69709	485228.400988	54952.1472778	97804.9871794	444423.34454
Cd - non combustion - Steel production: open hearth furnace - air	3174.31190697	14783.62664	17574.4698779	1436.33597696	4315.57872243	15250.3134597
Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	1225.26477893	1126.97580144	1387.63044221	156.123668126	315.425573103	1471.0060954
Cd - non combustion - Zinc, unwrought, not alloyed - air	1591.46148001	1073.23114852	1906.46073895	162.106179541	310.199459651	1929.46829293
Cr - non combustion - Agglomeration plant - pellets - air	398.887977073	521.522920951	625.956049968	66.754510986	150.201288	592.788234628
Cr - non combustion - Agglomeration plant - sinter - air	18159.7422564	8992.79102074	23885.8604261	2262.75165469	4200.91915496	24108.2664985
Cr - non combustion - Glass production - air	26.3901293765	2.59185656301	35.3548085567	2.71372889115	4.57018146375	39.1810587221
Cr - non combustion - Pig iron production, blast furnace - air	4740850.40716	2893189.38738	6206599.01504	611354.602511	1166339.9039	6205463.57768
Cr - non combustion - Steel production: basic oxygen furnace - air	10183764.5767	11897125.5623	9431355.87813	1418682.66088	2661504.77884	5901530.33225
Cr - non combustion - Steel production: electric arc furnace - air	222229.5533	144048.348545	242614.200493	27476.0736389	48902.4935897	222211.67227
Cr - non combustion - Steel production: open hearth furnace - air	9126.14673252	42502.9265901	50526.600899	4129.46593377	12407.288827	43844.6511967
Cu - non combustion - Agglomeration plant - pellets - air	683.807960696	894.039293059	1073.06751423	114.436304547	257.487922285	1016.20840222
Cu - non combustion - Agglomeration plant - sinter - air	37454.4684038	18547.6314803	49264.5871288	4666.9252878	8664.39575709	49723.299653
Cu - non combustion - Glass production - air	0.803177850588	0.078882591048	1.0760159126	0.0825917488612	0.139092479332	1.19246700459
Cu - non combustion - Pig iron production, blast furnace - air	30918.5896119	18868.6264395	40477.8196633	3987.09523377	7606.56459062	40470.414637
Cu - non combustion - Steel production: basic oxygen furnace - air	88554.4745799	103453.26576	82011.7902447	12336.3709642	23143.519816	51317.655063
