region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Taxes less subsidies on products purchased: Total	14142.3833649	5048.32456514	184468.973457	17969.311314	4244.41366153	105743.60862	69419.6445219	172009.819921	25397.4240574	14183.9591072	469457.892099	24438.9694275	1831.10140972	174048.480366	52902.1841564	108672.137916	20048.3024899	19359.4408671	206812.93305	6984.61639534	1390.04636439	129555.440778	52847.6568957	133850.620857	899.70360418	322.632792755	4031.18208984	47.5449099472	0	8059.4447454	3222.15053132	9123.65575895	17443.0589462	16676.3605817	67052.4347805	4946.96455525	281.027250164	49731.9669066	20819.3631169	41740.0053996	28071.6267616	47418.4721975	258438.01117	17941.3257672	1996.51023544	88341.3859622	32745.7446857	104000.828609
Other net taxes on production	-7072.77108792	3652.72939242	36520.5615846	6696.63641629	3304.84273486	74747.2741043	29474.0390372	129938.913925	-12708.1228367	24263.741155	146647.15935	1093.67511398	-74.4661042801	98282.7838968	32901.2523331	110144.884626	9055.80522217	29462.4453872	38847.4321295	21309.0512019	977.174374222	182398.033951	66196.7164531	330170.913531	342.946037935	700.084867247	2466.93961836	90.5613296905	0	4903.74126768	1625.3971708	16868.5452114	2624.0394008	13505.1837915	3929.38590369	1418.95187063	189.895217427	20115.8087149	4620.81673979	13016.5256472	4585.22961193	42291.8796465	13680.1555851	5401.93287991	1284.8341595	28987.7595184	7942.31807625	35218.4384687
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	11550.2080704	4297.6262086	74743.4199716	2134.81483171	926.13595151	91096.2117879	45099.2587984	245816.3582	54896.7359695	11310.9518	132178.295757	2088.2230417	998.940994813	253597.762913	47835.1116005	127421.958077	1041.47824211	5133.31762652	64122.759507	1296.59459873	199.940013453	109877.086948	43788.4722134	147570.800254	931.09192916	494.321073034	3554.89066102	25.6531285522	0	7028.17661577	2706.76340702	9772.63486797	49727.7983767	2654.83095144	11444.0940982	342.43897737	85.939205641	11646.2831631	2539.33463016	21392.0162372	12271.4672174	11076.0827728	26831.7796449	1734.82754852	409.347391414	68258.9771502	18360.8215461	36564.9663076
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	47600.9707008	31733.5017234	825553.725276	23293.2634313	11489.2500957	864236.519073	415103.391803	993508.661533	447067.886407	31717.653736	950004.915081	13050.1372898	6320.15534931	943328.839319	264874.757442	700032.125905	92930.5841903	56670.9009248	626424.520201	35608.1065958	6073.57955367	1271651.14311	549543.159861	1558948.03346	3577.50257711	7606.61215553	34271.829893	384.864212119	0	55556.7526099	17113.3041109	62139.0615968	32567.7682174	18221.851716	41520.6234813	1714.4979001	278.643788105	50243.247552	16996.9327685	42758.5846302	126547.58452	50788.6269767	220935.507801	10902.9168457	2549.87453953	292363.984756	138328.271077	201839.043698
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	13299.4863446	21918.9891169	643504.589273	30041.8010978	16740.3170641	504849.762583	258543.557024	2420376.11963	3864.84680905	5327.61304672	284245.8411	12321.9282779	4627.46915227	256334.253105	97656.8253266	1311706.20509	20928.3621831	27432.445913	423823.605178	23747.1745887	3911.99667738	375297.181713	121053.201902	2683339.81183	1092.31760285	6149.51124989	24731.5806408	538.72696888	0	27043.2862853	9377.73136836	173109.681603	23383.2998626	9290.49770792	35358.5174507	2329.69474862	338.196619154	36802.0573477	20878.7122829	118949.148763	1225.7195845	13994.7846787	68007.049742	6350.0726521	1520.93706544	93968.5240512	28857.7506609	352404.753481
Operating surplus: Consumption of fixed capital	56228.6616689	47314.8236761	339646.182157	104757.492854	8617.63222464	358961.59771	254896.790153	1076211.39274	86517.487491	27673.3868804	469093.994422	64798.6524071	6738.94249316	275516.820031	148289.661333	920150.887392	44338.4550388	71032.7155347	513275.243966	139008.211436	16036.8537651	442588.513579	304060.879047	1575725.57292	4786.98113608	21803.2941296	17859.3146299	2141.77592497	88.1360296514	38350.7594543	19953.9895989	79115.8928664	10097.5809172	19225.7160849	25081.5000249	7682.08765692	327.701248839	24173.7106091	19054.6725029	63321.6513717	16355.0372858	38304.8460823	48329.3581252	16763.6975438	1757.07753753	33563.0506938	22509.9856762	122903.734542
Operating surplus: Rents on land	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Operating surplus: Royalties on resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
