stressor	Europe	Asia	America	Oceania	Africa	Other
Taxes less subsidies on products purchased: Total	573046.479425	870932.148539	570849.057698	25706.3144324	218691.181537	578953.905389
Other net taxes on production	277262.226107	400550.907534	678417.572249	26998.2155031	59420.6072859	139392.547946
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	475664.03382	630327.980153	373030.449403	24513.5316825	99832.7356398	175508.269579
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	3212519.28364	3356396.47053	4197850.0279	180649.927155	204302.150054	1044255.81021
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	3909274.62214	1976084.98191	3679533.77999	242042.83572	247330.124783	566329.591916
Operating surplus: Consumption of fixed capital	2246634.57318	1998779.83245	3106066.44528	184100.14377	168964.620416	300486.787486
Operating surplus: Rents on land	0	0	0	0	0	0
Operating surplus: Royalties on resources	0	0	0	0	0	0
Operating surplus: Remaining net operating surplus	3358891.76183	2316575.57337	3171742.81981	200076.373715	264223.402236	622062.236437
Employment: Low-skilled male	29384.0508355	131949.182094	30187.872514	538.859859578	111772.263306	67833.9731168
Employment: Low-skilled female	25852.6566801	48688.7566281	19710.7210729	322.04986242	71382.7714236	21937.2456461
Employment: Medium-skilled male	142111.34595	575576.579461	157592.739996	3014.69492426	90105.0873324	276440.373973
Employment: Medium-skilled female	85609.0195353	286465.903754	89256.932986	2277.56166395	33315.7936226	124932.432193
Employment: High-skilled male	76899.8362128	80103.5707977	57932.2233959	2303.1315639	30124.1600032	39223.8157
Employment: High-skilled female	75209.49221	41018.7126762	51081.8496567	2275.22141705	16284.5747508	17583.4723634
Employment hours: Low-skilled male	58740.3555934	306580.454524	66220.9292691	989.330400212	258802.321316	147990.26393
Employment hours: Low-skilled female	48293.7418901	109421.617544	41353.9344294	557.15737559	163273.730197	46376.8339865
Employment hours: Medium-skilled male	278324.613643	1290623.02452	335884.100507	5570.89302819	200916.321906	579834.458737
Employment hours: Medium-skilled female	159500.352635	630443.513621	181426.214661	3862.13923521	73491.331236	256535.704266
Employment hours: High-skilled male	142158.007713	186090.911572	118701.546354	4112.59381944	66039.325072	92803.2167147
Employment hours: High-skilled female	135671.249905	89890.0842367	96989.1066729	3888.05726262	35091.4179893	41477.4117319
Employment: Vulnerable employment	72221.2841703	900289.304387	74721.4777416	1284.71934843	68589.9570427	287536.328238
Employment hours: Vulnerable employment	260199.619833	4016317.99312	324553.068829	4731.27471332	299841.713887	1150714.8593
CO2 - combustion - air	4.52495866461e+12	6.89755189425e+12	5.35371241819e+12	209462955454	604154611337	2.95808291157e+12
CH4 - combustion - air	1054037668.3	7551591204.2	1186594517.82	25292503.1788	3342368428.59	1486826996.3
N2O - combustion - air	93218651.7949	158533505.141	278583524.557	9264825.90802	58767660.2974	76155795.2758
SOx - combustion - air	7394143598.83	20543705382.6	4727448911.25	176168818.331	1159526068.35	5334130099.68
