region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Taxes less subsidies on products purchased: Total	14340.4526998	5466.99549244	187563.89808	18544.1594971	4871.48044618	107346.358238	72794.003974	176749.460638	25802.194158	16961.9882912	482099.927712	25729.8162465	1925.7070485	176997.947788	54954.0089749	111555.392354	20235.9567533	20068.1117115	209123.20829	7106.69711822	1413.94934166	131438.501025	54811.6901239	136479.640697	915.554636347	375.611904572	4129.10139417	57.4027528738	0	8199.90126455	3297.64855894	9359.67767991	17673.504238	17392.3244757	68164.5941801	5058.84466444	283.756775953	50389.2587922	21558.6289124	42535.6445802	28433.8612757	48883.8878453	262998.918668	18579.746264	2094.29551047	89983.1594622	34280.1169004	106507.5085
Other net taxes on production	-7171.82787551	3955.65991564	37133.284598	6910.86550997	3793.09795049	75880.2141145	30906.7171056	133519.312809	-12910.6578712	29015.9672811	150596.221965	1151.44215879	-78.3134681262	99948.3075983	34177.3358668	113067.213509	9140.56853114	30540.9463725	39281.3907764	21681.5017743	993.977681979	185049.149834	68656.854865	336655.947941	348.988081841	815.044893928	2526.86273914	109.338089691	0	4989.20155074	1663.48176036	17304.9214349	2658.70634352	14084.9999888	3994.56032251	1451.04275959	191.739607581	20381.6730806	4784.89533067	13264.6439141	4644.39712774	43598.8635988	13921.5826256	5594.15416376	1347.76289355	29526.4802424	8314.47245215	36067.2908546
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	11711.9730269	4654.03973288	75997.42625	2203.10873601	1062.96264645	92476.951679	47291.4496582	252589.699518	55771.6497911	13526.282087	135737.72622	2198.52131262	1050.55225479	257895.291615	49690.4087068	130802.676752	1051.22659025	5321.22762671	64839.064921	1319.25714695	203.378144525	111474.126587	45415.8294036	150469.304266	947.495962724	575.492894343	3641.24062307	30.9719841799	0	7150.66063974	2770.18542796	10025.4453768	50384.7666894	2768.81044335	11633.9105734	350.183546742	86.7739050443	11800.2084529	2629.50276955	21799.7863395	12429.817462	11418.3769097	27305.3062149	1796.55930011	429.396448284	69527.5307121	19221.1572841	37446.2733797
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	48267.6399858	34365.2450715	839404.436885	24038.4277801	13186.6640826	877335.700848	435280.793508	1020884.27362	454193.007166	37929.7816095	975587.605609	13739.435104	6646.69233453	959314.716784	275147.993033	718605.154581	93800.4244338	58745.3934417	633422.211485	36230.4834233	6178.0196916	1290134.31681	569966.412086	1589568.02822	3640.53123251	8855.68405704	35104.3087209	464.660996997	0	56524.9716788	17514.2849757	63746.5510804	32998.0304134	19004.1679683	42209.301705	1753.2728317	281.350164105	50907.2968743	17600.4695315	43573.6397534	128180.546627	52358.1935454	224834.572066	11290.8840272	2674.76254597	297797.400106	144809.939388	206703.869092
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	13485.7505935	23736.7889395	654300.975034	31002.8548898	19213.5201099	512501.740558	271110.877146	2487068.31903	3926.44260035	6371.06392055	291900.2998	12972.7626745	4866.55185557	260678.155029	101444.470414	1346507.97498	21124.2538996	28436.6368264	428558.073022	24162.2399375	3979.26664049	380752.044893	125552.029757	2736044.48781	1111.56212002	7159.31450437	25332.3223382	650.425273608	0	27514.5849886	9597.46046388	177587.895235	23692.2233935	9689.36536757	35944.9884367	2382.38291728	341.48141233	37288.458654	21620.0854824	121216.532352	1241.53619327	14427.2780827	69207.2364394	6576.03234928	1595.42967089	95714.874654	30209.942563	360898.588778
Operating surplus: Consumption of fixed capital	57016.1649723	51238.7673228	345344.589388	108108.742848	9890.7953424	364402.357403	267286.847738	1105865.83538	87896.355365	33093.4163512	481726.230632	68221.2654017	7087.11652429	280185.794349	154041.113987	944564.036711	44753.4677374	73632.9360081	519008.962211	141437.868554	16312.6205027	449021.44168	315361.014284	1606675.10282	4871.31845741	25383.5847374	18293.1257615	2585.84639804	92.3493690233	39019.1199121	20421.5304053	81162.5598501	10230.9829763	20051.1311079	25497.5121518	7855.82506623	330.884103915	24493.2069978	19731.2766597	64528.6753367	16566.0816629	39488.6151544	49182.2734175	17360.2135568	1843.13585429	34186.8005547	23564.7394132	125866.021708
Operating surplus: Rents on land	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Operating surplus: Royalties on resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
