region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Taxes less subsidies on products purchased: Total	0.0257996893225	0.0123559604055	0.0246544852099	0.0319087431637	0.0266564395043	0.0229835716273	0.0292311761562	0.0168181887802	0.0198938495242	0.0273541876925	0.0367727217284	0.0525678258655	0.0264773822412	0.0384374845158	0.0354877190892	0.0171739398832	0.0290741533148	0.0275733499517	0.0295843950398	0.0194914008958	0.0176231126688	0.0307077029991	0.0251716731764	0.0101138321492	0.0203731360143	0.00291910756962	0.0131946871604	0.00753218940179	0	0.0218708207954	0.0243755188486	0.0123842840472	0.0666362782019	0.0915246501174	0.125356637726	0.12550945827	0.0566423569365	0.112855077219	0.103836439801	0.0636084407572	0.0708642075607	0.0958869023809	0.156633644168	0.136431756918	0.0976785986732	0.0674112131849	0.0622179765376	0.0571865300966
Other net taxes on production	-0.0129027259415	0.00894018979212	0.00488101401863	0.0118914546994	0.0207555972292	0.016246460195	0.0124109080803	0.0127047234007	-0.00995429626549	0.0467933476584	0.0114868985564	0.00235247738722	-0.00107676587248	0.021705119035	0.0220707409174	0.017406684577	0.0131327761814	0.0419629018562	0.00555708853142	0.0594654360635	0.0123886904316	0.0432326471242	0.03152991466	0.0249479096817	0.0077657644628	0.00633420743721	0.00807467779488	0.0143469635018	0	0.0133072252345	0.0122961044148	0.0228970558381	0.0100244011136	0.0741203223108	0.00734611064945	0.0360002338011	0.0382742694161	0.0456481270911	0.0230462938053	0.0198361474219	0.0115749851511	0.0855202023017	0.00829124404876	0.0410780787954	0.0628600835595	0.0221198707193	0.0150906618391	0.0193654254334
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	0.0210708317077	0.0105185985144	0.00998954191425	0.00379086638196	0.00581646581433	0.0197999324586	0.0189903648676	0.02403459244	0.0430007154378	0.0218135075108	0.0103535498501	0.0044917338086	0.0144444990406	0.0560054305828	0.0320886373625	0.020137057113	0.00151035720357	0.00731130430375	0.0091727002771	0.00361830109095	0.00253485457345	0.0260434678168	0.0208567262239	0.0111505370265	0.0210839018833	0.00447250378301	0.0116357110933	0.0040640359445	0	0.0190722805525	0.0204766232382	0.013265196462	0.189971003206	0.014570473741	0.0213950941926	0.00868802071659	0.0173214489268	0.0264285180627	0.0126649151551	0.0325997273952	0.0309781761973	0.0223974164156	0.016262156663	0.0131922007028	0.0200271848619	0.0520868040539	0.0348861562055	0.0201058354457
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	0.0868375735436	0.0776689148571	0.110336181355	0.0413626736879	0.0721566097341	0.187843428064	0.174791450639	0.0971398971997	0.350189107336	0.0611684401304	0.0744140570877	0.0280706331176	0.0913882585195	0.208328090991	0.177682663501	0.110629181289	0.134768420106	0.0807154810931	0.089609436871	0.0993686469685	0.0770012997546	0.301411391036	0.261750882232	0.117795036278	0.081009952896	0.0688228835413	0.11217703983	0.0609711984494	0	0.150763708753	0.129461880463	0.0843464297174	0.124415956515	0.100006748753	0.077624112725	0.0434985333416	0.0561619590083	0.114015309165	0.0847720929936	0.0651606743046	0.319457592248	0.102701835198	0.133904194497	0.0829093747081	0.124751763048	0.223096012014	0.262828199724	0.110984447926
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	0.0242620078234	0.0536475335849	0.0860051101354	0.0533462912772	0.105135192912	0.109730042608	0.10886734312	0.236651270944	0.00302734169731	0.0102744604755	0.0222650282233	0.0265042673735	0.0669123342396	0.0566097667953	0.0655099225032	0.207294748614	0.0303504204928	0.0390716052382	0.0606275670378	0.0662693086996	0.0495965889854	0.0889543065366	0.0576584055799	0.202754744672	0.0247347404082	0.0556393684775	0.0809503173675	0.0853465401441	0	0.073387049201	0.0709423925124	0.234975926858	0.0893292902195	0.0509889161949	0.0661038615091	0.0591066951397	0.0681651106989	0.0835136690168	0.104132443385	0.181269020207	0.00309421494468	0.0282994472437	0.0412175901757	0.0482880462528	0.0744113396393	0.0717051485948	0.0548306618396	0.193775427663
Operating surplus: Consumption of fixed capital	0.102576911165	0.115804774513	0.0453940932052	0.186021594014	0.0541218199697	0.0780209763985	0.107331765035	0.105226122432	0.0677693089452	0.0533689510166	0.0367442175575	0.139380847714	0.0974438419113	0.0608461129996	0.0994753227892	0.145415525327	0.0642998598103	0.101170789844	0.0734235396099	0.387918909722	0.203316441807	0.104903943394	0.144826119504	0.119062757091	0.108397718237	0.197271208525	0.0584563198062	0.33930576251	0.0301899524803	0.104072006681	0.150951622168	0.107390471077	0.0385749548424	0.105516244345	0.0468906538968	0.194902277838	0.0660497197138	0.0548565871643	0.0950350566999	0.0964971487513	0.0412867685485	0.0774578527479	0.0292913702949	0.127476683609	0.0859644336299	0.0256111667347	0.0427697025708	0.0675805972735
Operating surplus: Rents on land	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Operating surplus: Royalties on resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
