	unit
Taxes less subsidies on products purchased: Total	M.EUR
Other net taxes on production	M.EUR
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	M.EUR
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	M.EUR
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	M.EUR
Operating surplus: Consumption of fixed capital	M.EUR
Operating surplus: Rents on land	M.EUR
Operating surplus: Royalties on resources	M.EUR
Operating surplus: Remaining net operating surplus	M.EUR
Employment: Low-skilled male	1000 p
Employment: Low-skilled female	1000 p
Employment: Medium-skilled male	1000 p
Employment: Medium-skilled female	1000 p
Employment: High-skilled male	1000 p
Employment: High-skilled female	1000 p
Employment hours: Low-skilled male	M.hr
Employment hours: Low-skilled female	M.hr
Employment hours: Medium-skilled male	M.hr
Employment hours: Medium-skilled female	M.hr
Employment hours: High-skilled male	M.hr
Employment hours: High-skilled female	M.hr
Employment: Vulnerable employment	1000 p
Employment hours: Vulnerable employment	M.hr
CO2 - combustion - air	kg
CH4 - combustion - air	kg
N2O - combustion - air	kg
SOx - combustion - air	kg
NOx - combustion - air	kg
NH3 - combustion - air	kg
CO - combustion - air	kg
Benzo(a)pyrene - combustion - air	kg
Benzo(b)fluoranthene - combustion - air	kg
Benzo(k)fluoranthene - combustion - air	kg
Indeno(1,2,3-cd)pyrene - combustion - air	kg
PCBs - combustion - air	kg
PCDD_F - combustion - air	kg
HCB - combustion - air	kg
NMVOC - combustion - air	kg
PM10 - combustion - air	kg
PM2.5 - combustion - air	kg
TSP - combustion - air	kg
As - combustion - air	kg
Cd - combustion - air	kg
Cr - combustion - air	kg
Cu - combustion - air	kg
Hg - combustion - air	kg
Ni - combustion - air	kg
Pb - combustion - air	kg
Se - combustion - air	kg
Zn - combustion - air	kg
As - non combustion - Agglomeration plant - pellets - air	kg
As - non combustion - Agglomeration plant - sinter - air	kg
As - non combustion - Glass production - air	kg
As - non combustion - Production of coke oven coke - air	kg
As - non combustion - Production of gascoke - air	kg
As - non combustion - Steel production: basic oxygen furnace - air	kg
As - non combustion - Steel production: electric arc furnace - air	kg
As - non combustion - Steel production: open hearth furnace - air	kg
B(a)P - non combustion - Primary aluminium production - air	kg
B(a)P - non combustion - Production of coke oven coke - air	kg
B(a)P - non combustion - Production of gascoke - air	kg
B(b)F - non combustion - Primary aluminium production - air	kg
B(b)F - non combustion - Production of coke oven coke - air	kg
B(b)F - non combustion - Production of gascoke - air	kg
B(k)F - non combustion - Primary aluminium production - air	kg
B(k)F - non combustion - Production of coke oven coke - air	kg
B(k)F - non combustion - Production of gascoke - air	kg
CH4 - non combustion - Extraction/production of (natural) gas - air	kg
CH4 - non combustion - Extraction/production of crude oil - air	kg
CH4 - non combustion - Mining of antracite - air	kg
CH4 - non combustion - Mining of bituminous coal - air	kg
CH4 - non combustion - Mining of coking coal - air	kg
CH4 - non combustion - Mining of lignite (brown coal) - air	kg
CH4 - non combustion - Mining of sub-bituminous coal - air	kg
CH4 - non combustion - Oil refinery - air	kg
CO - non combustion - Agglomeration plant - sinter - air	kg
CO - non combustion - Bricks production - air	kg
CO - non combustion - Carbon black production - air	kg
CO - non combustion - Cement production - air	kg
CO - non combustion - Chemical wood pulp, dissolving grades - air	kg
CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	kg
CO - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	kg
CO - non combustion - Glass production - air	kg
CO - non combustion - Lime production - air	kg
CO - non combustion - Oil refinery - air	kg
CO - non combustion - Pig iron production, blast furnace - air	kg
CO - non combustion - Primary aluminium production - air	kg
CO - non combustion - Production of coke oven coke - air	kg
CO - non combustion - Production of gascoke - air	kg
CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	kg
CO - non combustion - Steel production: basic oxygen furnace - air	kg
CO - non combustion - Steel production: electric arc furnace - air	kg
CO2 - non combustion - Cement production - air	kg
CO2 - non combustion - Lime production - air	kg
Cd - non combustion - Agglomeration plant - pellets - air	kg
Cd - non combustion - Agglomeration plant - sinter - air	kg
Cd - non combustion - Glass production - air	kg
Cd - non combustion - Nickel, unwrought - air	kg
Cd - non combustion - Production of coke oven coke - air	kg
Cd - non combustion - Production of gascoke - air	kg
Cd - non combustion - Refined copper; unwrought, not alloyed - air	kg
Cd - non combustion - Refined lead, unwrought - air	kg
Cd - non combustion - Steel production: basic oxygen furnace - air	kg
Cd - non combustion - Steel production: electric arc furnace - air	kg
Cd - non combustion - Steel production: open hearth furnace - air	kg
Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	kg
Cd - non combustion - Zinc, unwrought, not alloyed - air	kg
Cr - non combustion - Agglomeration plant - pellets - air	kg
Cr - non combustion - Agglomeration plant - sinter - air	kg
Cr - non combustion - Glass production - air	kg
Cr - non combustion - Pig iron production, blast furnace - air	kg
Cr - non combustion - Steel production: basic oxygen furnace - air	kg
Cr - non combustion - Steel production: electric arc furnace - air	kg
Cr - non combustion - Steel production: open hearth furnace - air	kg
Cu - non combustion - Agglomeration plant - pellets - air	kg
Cu - non combustion - Agglomeration plant - sinter - air	kg
Cu - non combustion - Glass production - air	kg
Cu - non combustion - Pig iron production, blast furnace - air	kg
Cu - non combustion - Steel production: basic oxygen furnace - air	kg
Cu - non combustion - Steel production: electric arc furnace - air	kg
Cu - non combustion - Steel production: open hearth furnace - air	kg
HCB - non combustion - Agglomeration plant - pellets - air	kg
HCB - non combustion - Agglomeration plant - sinter - air	kg
Hg - non combustion - Agglomeration plant - pellets - air	kg
Hg - non combustion - Agglomeration plant - sinter - air	kg
Hg - non combustion - Glass production - air	kg
Hg - non combustion - Nickel, unwrought - air	kg
Hg - non combustion - Pig iron production, blast furnace - air	kg
Hg - non combustion - Production of coke oven coke - air	kg
Hg - non combustion - Production of gascoke - air	kg
Hg - non combustion - Refined copper; unwrought, not alloyed - air	kg
Hg - non combustion - Refined lead, unwrought - air	kg
HCB - non combustion - Secondary aluminium production - air	kg
Hg - non combustion - Steel production: basic oxygen furnace - air	kg
Hg - non combustion - Steel production: electric arc furnace - air	kg
Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	kg
Hg - non combustion - Zinc, unwrought, not alloyed - air	kg
Indeno - non combustion - Primary aluminium production - air	kg
Indeno - non combustion - Production of coke oven coke - air	kg
Indeno - non combustion - Production of gascoke - air	kg
NH3 - non combustion - N- fertilizer production - air	kg
NMVOC - non combustion - Beef and veal - air	kg
NMVOC - non combustion - Coil coating (coating of aluminum and steel) - air	kg
NMVOC - non combustion - Decorative paint applicatoin - air	kg
NMVOC - non combustion - Degreasing - air	kg
NMVOC - non combustion - Diesel distribution - transport and depots (used in mobile sources) - air	kg
NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources) - air	kg
NMVOC - non combustion - Dry cleaning - air	kg
NMVOC - non combustion - Extraction, proc. and distribution of gaseous fuels - air	kg
NMVOC - non combustion - Extraction, proc. and distribution of liquid fuels - air	kg
NMVOC - non combustion - Extraction/production of (natural) gas - air	kg
NMVOC - non combustion - Extraction/production of crude oil - air	kg
NMVOC - non combustion - Fat, edible and non-edible oil extraction - air	kg
NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal - air	kg
NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen - air	kg
NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air	kg
NMVOC - non combustion - Flexography and rotogravure in packaging - air	kg
NMVOC - non combustion - Gasoline distribution - service stations - air	kg
NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources) - air	kg
NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources) - air	kg
NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives) - air	kg
NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives) - air	kg
NMVOC - non combustion - Industrial paint application, general industry (continuous processes) - air	kg
NMVOC - non combustion - Industrial paint application, general industry (plastic parts) - air	kg
NMVOC - non combustion - Industrial paint application, general industry - air	kg
NMVOC - non combustion - Inorganic chemical industry, fertilizers and other - air	kg
NMVOC - non combustion - Leather coating - air	kg
NMVOC - non combustion - Manufacture of automobiles - air	kg
NMVOC - non combustion - Mutton and lamb - air	kg
NMVOC - non combustion - Oil refinery - air	kg
NMVOC - non combustion - Organic chemical industry - downstream units - air	kg
NMVOC - non combustion - Organic chemical industry, storage - air	kg
NMVOC - non combustion - Other industrial use of solvents - air	kg
NMVOC - non combustion - Pharmaceutical industry - air	kg
NMVOC - non combustion - Polystyrene processing - air	kg
NMVOC - non combustion - Polyvinylchloride produceduction by suspension process - air	kg
NMVOC - non combustion - Pork - air	kg
NMVOC - non combustion - Poultry, dressed - air	kg
NMVOC - non combustion - Printing, offset - air	kg
NMVOC - non combustion - Products incorporating solvents - air	kg
NMVOC - non combustion - Raw sugar - air	kg
NMVOC - non combustion - Rotogravure in publication - air	kg
NMVOC - non combustion - Screen printing - air	kg
NMVOC - non combustion - Steam cracking (ethylene and propylene production) - air	kg
NMVOC - non combustion - Synthetic rubber - air	kg
NMVOC - non combustion - Tyre production - air	kg
NMVOC - non combustion - Vehicle refinishing - air	kg
NMVOC - non combustion - Wire coating - air	kg
NOx - non combustion - Agglomeration plant - pellets - air	kg
NOx - non combustion - Agglomeration plant - sinter - air	kg
NOx - non combustion - Bricks production - air	kg
NOx - non combustion - Cement production - air	kg
NOx - non combustion - Chemical wood pulp, dissolving grades - air	kg
NOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	kg
NOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	kg
NOx - non combustion - Glass production - air	kg
NOx - non combustion - Lime production - air	kg
NOx - non combustion - Nickel, unwrought - air	kg
NOx - non combustion - Oil refinery - air	kg
NOx - non combustion - Pig iron production, blast furnace - air	kg
NOx - non combustion - Production of coke oven coke - air	kg
NOx - non combustion - Production of gascoke - air	kg
NOx - non combustion - Refined copper; unwrought, not alloyed - air	kg
NOx - non combustion - Refined lead, unwrought - air	kg
NOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	kg
NOx - non combustion - Steel production: basic oxygen furnace - air	kg
NOx - non combustion - Steel production: electric arc furnace - air	kg
NOx - non combustion - Sulphuric acid production - air	kg
NOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	kg
NOx - non combustion - Zinc, unwrought, not alloyed - air	kg
Ni - non combustion - Agglomeration plant - pellets - air	kg
Ni - non combustion - Agglomeration plant - sinter - air	kg
Ni - non combustion - Glass production - air	kg
Ni - non combustion - Production of coke oven coke - air	kg
Ni - non combustion - Production of gascoke - air	kg
Ni - non combustion - Steel production: basic oxygen furnace - air	kg
Ni - non combustion - Steel production: electric arc furnace - air	kg
Ni - non combustion - Steel production: open hearth furnace - air	kg
PAH - non combustion - Agglomeration plant - pellets - air	kg
PAH - non combustion - Agglomeration plant - sinter - air	kg
PAH - non combustion - Pig iron production, blast furnace - air	kg
PAH - non combustion - Production of coke oven coke - air	kg
PAH - non combustion - Production of gascoke - air	kg
PAH - non combustion - Steel production: basic oxygen furnace - air	kg
PAH - non combustion - Steel production: electric arc furnace - air	kg
PCB - non combustion - Agglomeration plant - pellets - air	kg
PCB - non combustion - Agglomeration plant - sinter - air	kg
PCB - non combustion - Pig iron production, blast furnace - air	kg
PCB - non combustion - Steel production: basic oxygen furnace - air	kg
PCB - non combustion - Steel production: electric arc furnace - air	kg
PCDD/F - non combustion - Agglomeration plant - pellets - air	kg
PCDD/F - non combustion - Agglomeration plant - sinter - air	kg
PCDD/F - non combustion - Pig iron production, blast furnace - air	kg
PCDD/F - non combustion - Secondary aluminium production - air	kg
PCDD/F - non combustion - Steel production: basic oxygen furnace - air	kg
PCDD/F - non combustion - Steel production: electric arc furnace - air	kg
PM10 - non combustion - Agglomeration plant - pellets - air	kg
PM10 - non combustion - Agglomeration plant - sinter - air	kg
PM10 - non combustion - Aluminium ores and concentrates (Bauxite) - air	kg
PM10 - non combustion - Bricks production - air	kg
PM10 - non combustion - Briquettes production - air	kg
PM10 - non combustion - Carbon black production - air	kg
PM10 - non combustion - Cast iron production (grey iron foundries) - air	kg
PM10 - non combustion - Cement production - air	kg
PM10 - non combustion - Chemical wood pulp, dissolving grades - air	kg
PM10 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	kg
PM10 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	kg
PM10 - non combustion - Chromium ores and concentrates - air	kg
PM10 - non combustion - Copper ores and concentrates - air	kg
PM10 - non combustion - Fertilizer production (N-fertilizer) - air	kg
PM10 - non combustion - Glass production - air	kg
PM10 - non combustion - Gold ores and concentrates - air	kg
PM10 - non combustion - Iron ores and concentrates - air	kg
PM10 - non combustion - Lead ores and concentrates - air	kg
PM10 - non combustion - Lime production - air	kg
PM10 - non combustion - Mining of antracite - air	kg
PM10 - non combustion - Mining of bituminous coal - air	kg
PM10 - non combustion - Mining of coking coal - air	kg
PM10 - non combustion - Mining of lignite (brown coal) - air	kg
PM10 - non combustion - Mining of sub-bituminous coal - air	kg
PM10 - non combustion - Molybdenum ores and concentrates - air	kg
PM10 - non combustion - N- fertilizer production - air	kg
PM10 - non combustion - Nickel ores and concentrates - air	kg
PM10 - non combustion - Nickel, unwrought - air	kg
PM10 - non combustion - Oil refinery - air	kg
PM10 - non combustion - Pig iron production, blast furnace - air	kg
PM10 - non combustion - Platinum ores and concentrates - air	kg
PM10 - non combustion - Primary aluminium production - air	kg
PM10 - non combustion - Production of coke oven coke - air	kg
PM10 - non combustion - Production of gascoke - air	kg
PM10 - non combustion - Refined copper; unwrought, not alloyed - air	kg
PM10 - non combustion - Refined lead, unwrought - air	kg
PM10 - non combustion - Secondary aluminium production - air	kg
PM10 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	kg
PM10 - non combustion - Silver ores and concentrates - air	kg
PM10 - non combustion - Steel production: basic oxygen furnace - air	kg
PM10 - non combustion - Steel production: electric arc furnace - air	kg
PM10 - non combustion - Steel production: open hearth furnace - air	kg
PM10 - non combustion - Tin ores and concentrates - air	kg
PM10 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	kg
PM10 - non combustion - Zinc ores and concentrates - air	kg
PM10 - non combustion - Zinc, unwrought, not alloyed - air	kg
PM2.5 - non combustion - Agglomeration plant - pellets - air	kg
PM2.5 - non combustion - Agglomeration plant - sinter - air	kg
PM2.5 - non combustion - Aluminium ores and concentrates (Bauxite) - air	kg
PM2.5 - non combustion - Bricks production - air	kg
PM2.5 - non combustion - Briquettes production - air	kg
PM2.5 - non combustion - Carbon black production - air	kg
PM2.5 - non combustion - Cast iron production (grey iron foundries) - air	kg
PM2.5 - non combustion - Cement production - air	kg
PM2.5 - non combustion - Chemical wood pulp, dissolving grades - air	kg
PM2.5 - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	kg
PM2.5 - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	kg
PM2.5 - non combustion - Chromium ores and concentrates - air	kg
PM2.5 - non combustion - Copper ores and concentrates - air	kg
PM2.5 - non combustion - Fertilizer production (N-fertilizer) - air	kg
PM2.5 - non combustion - Glass production - air	kg
PM2.5 - non combustion - Gold ores and concentrates - air	kg
PM2.5 - non combustion - Iron ores and concentrates - air	kg
PM2.5 - non combustion - Lead ores and concentrates - air	kg
PM2.5 - non combustion - Lime production - air	kg
PM2.5 - non combustion - Mining of antracite - air	kg
