region	sector	unit
Europe	food	M.EUR
Europe	mining	M.EUR
Europe	manufactoring	M.EUR
Europe	electricity	M.EUR
Europe	gas	M.EUR
Europe	construction	M.EUR
Europe	transport	M.EUR
Europe	other	M.EUR
Asia	food	M.EUR
Asia	mining	M.EUR
Asia	manufactoring	M.EUR
Asia	electricity	M.EUR
Asia	gas	M.EUR
Asia	construction	M.EUR
Asia	transport	M.EUR
Asia	other	M.EUR
America	food	M.EUR
America	mining	M.EUR
America	manufactoring	M.EUR
America	electricity	M.EUR
America	gas	M.EUR
America	construction	M.EUR
America	transport	M.EUR
America	other	M.EUR
Oceania	food	M.EUR
Oceania	mining	M.EUR
Oceania	manufactoring	M.EUR
Oceania	electricity	M.EUR
Oceania	gas	M.EUR
Oceania	construction	M.EUR
Oceania	transport	M.EUR
Oceania	other	M.EUR
Africa	food	M.EUR
Africa	mining	M.EUR
Africa	manufactoring	M.EUR
Africa	electricity	M.EUR
Africa	gas	M.EUR
Africa	construction	M.EUR
Africa	transport	M.EUR
Africa	other	M.EUR
Other	food	M.EUR
Other	mining	M.EUR
Other	manufactoring	M.EUR
Other	electricity	M.EUR
Other	gas	M.EUR
Other	construction	M.EUR
Other	transport	M.EUR
Other	other	M.EUR
